fold,test_chunks,method,kl,js,tv,acceptance,top1_agreement,top10_overlap
0,0+1+2+3+4+5+6+7,identity,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7768777426581581,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,mean-layer-control,0.24049894669559083,0.05518663804364151,0.22266580184938023,0.7773341981506198,0.7996031746031746,0.749404761904762
1,8+9+10+11+12+13+14+15,identity,0.20671188691487316,0.04802122744635765,0.20122285227438305,0.7987771477256169,0.7857142857142857,0.7589285714285714
1,8+9+10+11+12+13+14+15,mean-layer-control,0.20736515440776634,0.04816933783948275,0.20098505565360866,0.7990149443463913,0.7817460317460317,0.760515873015873
2,16+17+18+19+20+21+22+23,identity,0.20689404047637558,0.04776397219135351,0.20661873681678522,0.7933812631832148,0.7400793650793651,0.7742063492063493
2,16+17+18+19+20+21+22+23,mean-layer-control,0.20577849160947645,0.04748117256815837,0.20539511397446547,0.7946048860255346,0.75,0.7777777777777778
3,24+25+26+27+28+29+30+31,identity,0.23135197366611956,0.053077387179971285,0.22524132477106862,0.7747586752289314,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,mean-layer-control,0.23203378485805076,0.05313555757148274,0.22459997071047608,0.7754000292895239,0.7738095238095238,0.7507936507936508
