chunk,method,kl,js,tv,acceptance,top1_agreement,top10_overlap
0,identity,0.35898461140921367,0.08311877704161613,0.28655974749643875,0.7134402525035612,0.5873015873015873,0.7
0,mean-layer-control,0.3482345832839894,0.08021206285502558,0.28060431688243714,0.7193956831175629,0.6031746031746031,0.7063492063492064
1,identity,0.21239786586594409,0.05201038475525632,0.17994099707946243,0.8200590029205376,0.7777777777777778,0.703174603174603
1,mean-layer-control,0.22066763966329975,0.05440168706345936,0.18627617325471382,0.8137238267452862,0.7777777777777778,0.7015873015873014
2,identity,0.17833410451074752,0.03926237301439167,0.1309086865832421,0.8690913134167579,0.873015873015873,0.7555555555555554
2,mean-layer-control,0.1920624568692585,0.041363559895977065,0.13184587599401326,0.8681541240059867,0.873015873015873,0.7555555555555553
3,identity,0.2822677170427466,0.06550403722979224,0.1950466020306709,0.8049533979693291,0.8095238095238095,0.6984126984126984
3,mean-layer-control,0.2904811786251634,0.06578999971116857,0.19330087066237678,0.8066991293376232,0.8095238095238095,0.7015873015873016
4,identity,0.24175788397342474,0.05620725734325384,0.18602625204215337,0.8139737479578466,0.8571428571428571,0.7253968253968256
4,mean-layer-control,0.2366443266095418,0.05495541373750798,0.18498737347949323,0.8150126265205068,0.8888888888888888,0.7301587301587301
5,identity,0.1580995082370623,0.03718023859134215,0.14556777287997114,0.8544322271200289,0.873015873015873,0.7492063492063491
5,mean-layer-control,0.1626611458371386,0.038204065676345926,0.14904960322042277,0.8509503967795773,0.873015873015873,0.753968253968254
6,identity,0.1495985792504461,0.033019438067871276,0.14602794752378637,0.8539720524762137,0.7936507936507936,0.7857142857142858
6,mean-layer-control,0.14630868955444182,0.03337260735907688,0.1488483984476983,0.8511516015523017,0.7936507936507936,0.7841269841269842
7,identity,0.13201452221579124,0.03074133730193093,0.13442801752512062,0.8655719824748793,0.9206349206349206,0.7634920634920636
7,mean-layer-control,0.13626707526684242,0.03165825939175279,0.1364450463514668,0.8635549536485332,0.9047619047619048,0.7492063492063491
8,identity,0.16326458399037488,0.03818255164110053,0.14990605675819327,0.8500939432418068,0.8253968253968254,0.7587301587301587
8,mean-layer-control,0.15886208249792125,0.03715647520334281,0.14736508803212522,0.8526349119678748,0.8253968253968254,0.7555555555555554
9,identity,0.13931199623847432,0.03281125299895754,0.14209975549694343,0.8579002445030566,0.873015873015873,0.7476190476190475
9,mean-layer-control,0.14310808021031016,0.03359894504475441,0.1460149427774244,0.8539850572225756,0.8571428571428571,0.7555555555555556
10,identity,0.16973725849317226,0.039077650945684925,0.16947534063827277,0.8305246593617273,0.7936507936507936,0.7603174603174603
10,mean-layer-control,0.1691388661108379,0.03892201997870062,0.16967490456152026,0.8303250954384798,0.7936507936507936,0.7666666666666665
11,identity,0.17066969484966693,0.041410525282752506,0.17885826208299796,0.8211417379170021,0.8571428571428571,0.7365079365079363
11,mean-layer-control,0.16757980606607384,0.0405874730774182,0.17622209537962807,0.8237779046203719,0.8571428571428571,0.7349206349206349
12,identity,0.24157547686823702,0.054980948473033975,0.21844320466080386,0.7815567953391962,0.746031746031746,0.746031746031746
12,mean-layer-control,0.23401415985473062,0.05349343461542352,0.21489166426435408,0.7851083357356459,0.7301587301587301,0.7460317460317459
13,identity,0.20502522161543657,0.050448634648077244,0.18723083123814643,0.8127691687618536,0.873015873015873,0.7444444444444446
13,mean-layer-control,0.2101666542367884,0.05183130575330454,0.18909793058391808,0.8109020694160819,0.8888888888888888,0.7412698412698413
14,identity,0.11473896053755038,0.028002429118873445,0.1268947158327108,0.8731052841672892,0.873015873015873,0.7841269841269841
14,mean-layer-control,0.11454085240511054,0.028009304444533464,0.12687823725430045,0.8731217627456995,0.8888888888888888,0.7857142857142856
15,identity,0.13255983339273833,0.03240742839211129,0.13260833835501837,0.8673916616449816,0.9047619047619048,0.7460317460317459
15,mean-layer-control,0.1299443279773215,0.031712366421707265,0.1309354567430481,0.8690645432569519,0.9047619047619048,0.7380952380952379
16,identity,0.1482121334580976,0.03508669371424889,0.14801920655355344,0.8519807934464465,0.8888888888888888,0.7555555555555555
16,mean-layer-control,0.1478958258119833,0.034947700159396584,0.14734532044230803,0.8526546795576919,0.8571428571428571,0.7492063492063492
17,identity,0.1194432800643087,0.030789449948647487,0.14744947664070104,0.8525505233592989,0.873015873015873,0.7888888888888889
17,mean-layer-control,0.12072389409692573,0.031119719744541696,0.14838951395543676,0.8516104860445632,0.8571428571428571,0.7984126984126984
18,identity,0.17403554333193622,0.04273705961779544,0.1794410046873126,0.8205589953126874,0.8253968253968254,0.7555555555555555
18,mean-layer-control,0.1801864868287498,0.04452029855362511,0.18437924981120135,0.8156207501887986,0.8571428571428571,0.7555555555555555
19,identity,0.1704865397815223,0.03860359376914049,0.17100598794289879,0.8289940120571012,0.8253968253968254,0.7539682539682541
19,mean-layer-control,0.17665261289359824,0.03920715499996385,0.16996442921651853,0.8300355707834814,0.8253968253968254,0.7539682539682541
20,identity,0.1020063348240376,0.024134349623463572,0.11405027983259754,0.8859497201674025,0.9047619047619048,0.7682539682539683
20,mean-layer-control,0.09818539998608657,0.023384624115012215,0.11271863335504248,0.8872813666449575,0.9047619047619048,0.7666666666666669
21,identity,0.16436789067746657,0.03765970632674806,0.16486892175106777,0.8351310782489323,0.8571428571428571,0.765079365079365
21,mean-layer-control,0.15934056241669514,0.03657129633575096,0.16105458653155005,0.83894541346845,0.8571428571428571,0.7666666666666666
22,identity,0.21351809698593108,0.04599090528432816,0.1719626155843596,0.8280373844156403,0.8888888888888888,0.7555555555555554
22,mean-layer-control,0.21240732247898694,0.045208678909451315,0.1693160252240006,0.8306839747759994,0.8888888888888888,0.7571428571428571
23,identity,0.17707017404782596,0.033235412310955684,0.13532708583968794,0.864672914160312,0.873015873015873,0.765079365079365
23,mean-layer-control,0.18198074143941675,0.034493244106771376,0.13806763101306316,0.8619323689869368,0.873015873015873,0.7603174603174603
24,identity,0.13610069014664208,0.03003144261889709,0.12929843361087565,0.8707015663891243,0.9206349206349206,0.7365079365079366
24,mean-layer-control,0.13330107994007118,0.029153780910631227,0.12515249562016428,0.8748475043798357,0.9206349206349206,0.7492063492063491
25,identity,0.18046210392005002,0.04176749388993596,0.17809529383001582,0.8219047061699842,0.8095238095238095,0.7999999999999999
25,mean-layer-control,0.17228448214582243,0.040460578683465316,0.17534270329541335,0.8246572967045867,0.8253968253968254,0.7984126984126982
26,identity,0.2562551475548678,0.05330233975345191,0.19617814797496225,0.8038218520250378,0.7777777777777778,0.7428571428571428
26,mean-layer-control,0.25037039622307816,0.052481658689228224,0.19424650782901962,0.8057534921709804,0.7777777777777778,0.7428571428571428
27,identity,0.22004992395107234,0.05198352973093279,0.19949734342166237,0.8005026565783376,0.8095238095238095,0.7555555555555554
27,mean-layer-control,0.2204903318779543,0.052115793071275146,0.20012594957555097,0.799874050424449,0.8253968253968254,0.7555555555555554
28,identity,0.16817225408574035,0.04077886914710111,0.18310668597474605,0.8168933140252539,0.7142857142857143,0.7603174603174603
28,mean-layer-control,0.15751974569589255,0.03843320704110074,0.17844961391898642,0.8215503860810136,0.746031746031746,0.761904761904762
29,identity,0.11027350930765221,0.028601543958964772,0.1104521518793176,0.8895478481206824,0.9523809523809523,0.7952380952380953
29,mean-layer-control,0.1116890200013124,0.02911396240773366,0.11092908953362475,0.8890709104663752,0.9523809523809523,0.7904761904761904
30,identity,0.17802743478086852,0.04116456786222342,0.17475438228113546,0.8252456177188645,0.8571428571428571,0.8063492063492064
30,mean-layer-control,0.17599682325112914,0.040585021074447364,0.17412712483385961,0.8258728751661404,0.8095238095238095,0.8063492063492063
31,identity,0.1660715491083725,0.04052326230623929,0.16528413474715928,0.8347158652528407,0.8571428571428571,0.7682539682539681
31,mean-layer-control,0.1632053451421165,0.040257256713356046,0.16580176064062038,0.8341982393593796,0.873015873015873,0.7761904761904761
