fold,state_layer,control_layer,train_chunks,test_chunks,dimensions,vector_rms,vector_norm,filename
0,3,2,8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31,0+1+2+3+4+5+6+7,2560,0.004095760195070323,0.20723089546044496,mean_control_layer2_fold0.gguf
1,3,2,0+1+2+3+4+5+6+7+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31,8+9+10+11+12+13+14+15,2560,0.004135990489666403,0.2092664052502553,mean_control_layer2_fold1.gguf
2,3,2,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+24+25+26+27+28+29+30+31,16+17+18+19+20+21+22+23,2560,0.004117607238431219,0.2083362781350183,mean_control_layer2_fold2.gguf
3,3,2,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23,24+25+26+27+28+29+30+31,2560,0.0041596216748652284,0.21046205915485627,mean_control_layer2_fold3.gguf
all,3,2,0+1+2+3+4+5+6+7+8+9+10+11+12+13+14+15+16+17+18+19+20+21+22+23+24+25+26+27+28+29+30+31,,2560,0.004117580289478894,0.20833491461390088,mean_control_layer2_all.gguf
