block,chunks,positions,method,sampler_js,sampler_tv,sampler_support_jaccard,reference_mass_in_candidate_support,mean_candidate_top_p
0,0+1+2+3+4+5+6+7,504,same-settings,0.05964382810311185,0.16822487167969702,0.7105777430794212,0.9681804224493957,0.95
0,0+1+2+3+4+5+6+7,504,frozen-mass-global,0.05931128481900068,0.16706959101452773,0.7261532813370982,0.9620985798833389,0.9388144016265869
0,0+1+2+3+4+5+6+7,504,frozen-temperature,0.05911041882505482,0.1661711256814352,0.7278631470439729,0.9600080094255862,0.95
0,0+1+2+3+4+5+6+7,504,frozen-top-p,0.05944458912551728,0.16673222814117455,0.7310616049014053,0.9579069318604612,0.9312499999999999
0,0+1+2+3+4+5+6+7,504,frozen-joint,0.05910661607084053,0.16640909323062275,0.719469376589728,0.9626490796310088,0.9649999999999999
1,8+9+10+11+12+13+14+15,504,same-settings,0.04846589861758802,0.15661334248984027,0.718460319649,0.9663484839811212,0.95
1,8+9+10+11+12+13+14+15,504,frozen-mass-global,0.04843297412034666,0.15577346570641984,0.734243278884973,0.9599549880931302,0.9388144016265869
1,8+9+10+11+12+13+14+15,504,frozen-temperature,0.048176719137884336,0.1547593289380154,0.7346884636458313,0.9584998406233296,0.95
1,8+9+10+11+12+13+14+15,504,frozen-top-p,0.04856646110375362,0.15549881157598325,0.7369136636851118,0.9560422773753839,0.9312499999999999
1,8+9+10+11+12+13+14+15,504,frozen-joint,0.04787805051865501,0.15477898344951904,0.7298769816342868,0.9619986301968022,0.9649999999999999
2,16+17+18+19+20+21+22+23,504,same-settings,0.04540807465378921,0.14762236995415556,0.7334901727363635,0.9701468008496459,0.95
2,16+17+18+19+20+21+22+23,504,frozen-mass-global,0.04528281109557452,0.14669672356704103,0.7480955167221217,0.9640920775395537,0.9388144016265869
2,16+17+18+19+20+21+22+23,504,frozen-temperature,0.04475307055829381,0.14505836003947825,0.7496939661748447,0.9630187584885529,0.95
2,16+17+18+19+20+21+22+23,504,frozen-top-p,0.04542350668859962,0.14653297803837748,0.7505878294043727,0.9608663847403867,0.9312499999999999
2,16+17+18+19+20+21+22+23,504,frozen-joint,0.04447834743257498,0.14443559820083754,0.7442708891307516,0.9661168874137931,0.9649999999999999
3,24+25+26+27+28+29+30+31,504,same-settings,0.05162395306003404,0.16061042818529087,0.7178417975556206,0.9621183547886119,0.95
3,24+25+26+27+28+29+30+31,504,frozen-mass-global,0.052001033615982,0.1598856987760565,0.7299748513036034,0.953293630616769,0.9388144016265869
3,24+25+26+27+28+29+30+31,504,frozen-temperature,0.051473237564846744,0.1586433226475492,0.7341452623214764,0.9521736200780623,0.95
3,24+25+26+27+28+29+30+31,504,frozen-top-p,0.05205736316438849,0.15953836055834675,0.734225608936128,0.9487980006647015,0.9312499999999999
3,24+25+26+27+28+29+30+31,504,frozen-joint,0.05109626800376212,0.15855407197257534,0.7279087360694513,0.9576868614447969,0.9649999999999999
