source,trial,calibration_contexts,method,temperature,top_p,js,tv
controlled:mixed,1,16,"same T,p",0.8,0.95,0.05591800720802073,0.24164358589141183
controlled:mixed,1,16,tuned T,0.675,0.95,0.03821969134592493,0.1950986301873258
controlled:mixed,1,16,"tuned T,p",0.65,0.96,0.037847397669531574,0.1951471462718311
controlled:mixed,1,16,temperature+rank,0.8,0.95,0.038421244949475374,0.1950064124718436
controlled:mixed,1,16,temperature+token-bias+PCA,0.8,0.95,0.005937567193562844,0.06631521033975785
controlled:mixed,1,64,"same T,p",0.8,0.95,0.05591800720802073,0.24164358589141183
controlled:mixed,1,64,tuned T,0.675,0.95,0.03821969134592493,0.1950986301873258
controlled:mixed,1,64,"tuned T,p",0.65,0.96,0.037847397669531574,0.1951471462718311
controlled:mixed,1,64,temperature+rank,0.8,0.95,0.038147032816205455,0.19390839080093616
controlled:mixed,1,64,temperature+token-bias+PCA,0.8,0.95,0.004685036363417208,0.057076201471486385
controlled:mixed,2,16,"same T,p",0.8,0.95,0.05591800720802073,0.24164358589141183
controlled:mixed,2,16,tuned T,0.675,0.95,0.03821969134592493,0.1950986301873258
controlled:mixed,2,16,"tuned T,p",0.65,0.96,0.037847397669531574,0.1951471462718311
controlled:mixed,2,16,temperature+rank,0.8,0.95,0.03835006358207222,0.19503504727205842
controlled:mixed,2,16,temperature+token-bias+PCA,0.8,0.95,0.006309409241830298,0.06926665121523216
controlled:mixed,2,64,"same T,p",0.8,0.95,0.05591800720802073,0.24164358589141183
controlled:mixed,2,64,tuned T,0.675,0.95,0.03821969134592493,0.1950986301873258
controlled:mixed,2,64,"tuned T,p",0.65,0.96,0.037847397669531574,0.1951471462718311
controlled:mixed,2,64,temperature+rank,0.8,0.95,0.03801928172870534,0.19386239685907458
controlled:mixed,2,64,temperature+token-bias+PCA,0.8,0.95,0.00458975473017624,0.05640196594364151
controlled:mixed,3,16,"same T,p",0.8,0.95,0.05591800720802073,0.24164358589141183
controlled:mixed,3,16,tuned T,0.675,0.95,0.03821969134592493,0.1950986301873258
controlled:mixed,3,16,"tuned T,p",0.65,0.96,0.037847397669531574,0.1951471462718311
controlled:mixed,3,16,temperature+rank,0.8,0.95,0.03857373773123054,0.1955747077517562
controlled:mixed,3,16,temperature+token-bias+PCA,0.8,0.95,0.00667093823749933,0.07075115444457972
controlled:mixed,3,64,"same T,p",0.8,0.95,0.05591800720802073,0.24164358589141183
controlled:mixed,3,64,tuned T,0.675,0.95,0.03821969134592493,0.1950986301873258
controlled:mixed,3,64,"tuned T,p",0.65,0.96,0.037847397669531574,0.1951471462718311
controlled:mixed,3,64,temperature+rank,0.8,0.95,0.03805386626250648,0.19388572479306534
controlled:mixed,3,64,temperature+token-bias+PCA,0.8,0.95,0.00457488145357408,0.05605125928391753
controlled:mixed,4,16,"same T,p",0.8,0.95,0.05591800720802073,0.24164358589141183
controlled:mixed,4,16,tuned T,0.675,0.95,0.03821969134592493,0.1950986301873258
controlled:mixed,4,16,"tuned T,p",0.65,0.97,0.037952995703906624,0.19564990181955028
controlled:mixed,4,16,temperature+rank,0.8,0.95,0.03918226810193232,0.19739040950608264
controlled:mixed,4,16,temperature+token-bias+PCA,0.8,0.95,0.007163129516870178,0.07398302454157966
controlled:mixed,4,64,"same T,p",0.8,0.95,0.05591800720802073,0.24164358589141183
controlled:mixed,4,64,tuned T,0.675,0.95,0.03821969134592493,0.1950986301873258
controlled:mixed,4,64,"tuned T,p",0.675,0.96,0.038115236661464116,0.19507146888534965
controlled:mixed,4,64,temperature+rank,0.8,0.95,0.038446623195328,0.19507222071850958
controlled:mixed,4,64,temperature+token-bias+PCA,0.8,0.95,0.005065516567861732,0.05910466849973202
micro-lm:Q4,0,16,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,0,16,tuned T,0.825,0.95,0.013959147036075592,0.1054549291729927
micro-lm:Q4,0,16,"tuned T,p",0.8,0.96,0.01397467590868473,0.10507725179195404
micro-lm:Q4,0,16,temperature+rank,0.8,0.95,0.013696980706298769,0.10589194519037635
micro-lm:Q4,0,16,temperature+token-bias+PCA,0.8,0.95,0.00931528303772211,0.08207771927118301
micro-lm:Q4,0,64,"same T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,0,64,tuned T,0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,0,64,"tuned T,p",0.8,0.95,0.013446790166199207,0.10412465035915375
micro-lm:Q4,0,64,temperature+rank,0.8,0.95,0.013504772579228245,0.10431088819548953
micro-lm:Q4,0,64,temperature+token-bias+PCA,0.8,0.95,0.008197300136089325,0.07507986575365067
