label,kind,model_bytes,added_bytes,kl_recovery,js_recovery,mean_chunk_kl_reduction,chunk_interval_low,chunk_interval_high,improved_chunks,kl,js,tv,acceptance,top1_agreement,top10_overlap,marginal_kl_per_mib
Q2 baseline,base,1940825248,0,0.0,0.0,0.0,0.0,0.0,0,0.2214712678849425,0.051045461795002973,0.2140512928010197,0.7859487071989804,0.7733134920634921,0.7571924603174603,
Q4-SSM-only,hybrid,1970460032,29634784,0.019086276255286694,0.01582027807503561,0.004227061801460635,-0.00022409276744606802,0.008678216370367337,21,0.21724420608348188,0.05023790839493742,0.21255834603919768,0.7874416539608023,0.7703373015873016,0.7595238095238096,0.00014956733126613562
Q4-FFN-only,hybrid,1981375872,40550624,0.049511158787759135,0.046569040003264894,0.010965299111177728,0.005766656874902069,0.016163941347453387,28,0.2105059687737648,0.04866832364268635,0.20859155738430168,0.7914084426156983,0.7901785714285714,0.7645337301587302,0.0006472753288133493
Q4-full-blocks,hybrid,2011010368,70185120,0.0681387631187036,0.06291183957330804,0.015090778260011064,0.009787455019666186,0.020394101500355942,26,0.20638048962493147,0.04783409789161032,0.2065845400911207,0.7934154599088793,0.7872023809523809,0.7649305555555557,0.0001459744219698236
Q8-full-blocks,benchmark,2132538688,191713440,0.07185365891135698,0.06844900159367551,0.015913520941270444,0.009716169005443637,0.022110872877097253,29,0.20555774694367207,0.047551450899246915,0.20599431565839646,0.7940056843416036,0.7822420634920635,0.7686507936507937,
