label,role,is_primary,kl_recovery,js_recovery,mean_chunk_kl_reduction,chunk_interval_low,chunk_interval_high,improved_chunks,kl,js,tv,acceptance,top1_agreement,top10_overlap
Q2 baseline,baseline,False,0.0,0.0,0.0,0.0,0.0,0,0.17921532576616933,0.04158610889716,0.16496292752424957,0.8350370724757504,0.839781746031746,0.7555555555555555
Q4-FFN-only,preselected,True,0.04751724280306957,0.04627822128985848,0.008515818148462282,0.00497652831381706,0.012055107983107504,28,0.17069950761770705,0.03966157774703308,0.16076877074433765,0.8392312292556623,0.8467261904761905,0.7601686507936508
Q4-full-blocks,diagnostic,False,0.04085411911576031,0.041545739148104,0.00732168426622089,-0.0006077181715430932,0.015251086703984874,24,0.17189364149994846,0.03985838326473395,0.16060347190473792,0.8393965280952621,0.8442460317460317,0.7621527777777778
Q8-full-blocks,benchmark,False,0.05411006723402734,0.05545485620875079,0.009697353326575554,0.0014342164811068647,0.017960490172044243,27,0.1695179724395938,0.03927995720798654,0.15935889356163238,0.8406411064383676,0.8402777777777778,0.7632936507936507
