fold,basis,seed,components,identity_kl,baseline_kl,oracle_kl,recovered_from_identity,recovered_from_baseline,js,tv,top1_agreement,top10_overlap
0,identity,,0,0.1792112570761493,0.18766587968028633,0.1792112570761493,0.0,0.04505146390244519,0.041586153313241996,0.16496292833980206,0.839781746031746,0.7555555555555555
0,frozen-temperature-token,,0,0.1792112570761493,0.18766587968028633,0.18766587968028633,-0.04717685005995209,0.0,0.043077073878911486,0.16921010656153992,0.8308531746031746,0.7562500000000001
0,learned-residual-pca,,1,0.1792112570761493,0.18766587968028633,0.15233972803775434,0.14994330979429982,0.188239608088134,0.03468039768523546,0.13677243663346528,0.8715277777777778,0.7427579365079365
0,learned-residual-pca,,2,0.1792112570761493,0.18766587968028633,0.13694149832394745,0.23586553345943473,0.27029090979540116,0.030841370342829192,0.12148096970575438,0.8849206349206349,0.7362103174603174
0,learned-residual-pca,,4,0.1792112570761493,0.18766587968028633,0.11569098751342309,0.35444352435815785,0.383526788617526,0.025717295416970112,0.10137725399043515,0.9151785714285714,0.7383928571428572
0,learned-residual-pca,,8,0.1792112570761493,0.18766587968028633,0.09424797144504077,0.47409569586918565,0.4977884546428756,0.02094215748198971,0.08252040687965942,0.9330357142857143,0.7563492063492064
0,learned-residual-pca,,16,0.1792112570761493,0.18766587968028633,0.0771404660153367,0.5695556893361968,0.5889478356600801,0.016913908845258726,0.06577694190775567,0.9538690476190477,0.8030257936507937
0,learned-residual-pca,,32,0.1792112570761493,0.18766587968028633,0.061392881419689446,0.6574273155530471,0.6728607164803728,0.013487222881454437,0.05257665344582317,0.966765873015873,0.8454861111111114
0,gaussian-random,0,1,0.1792112570761493,0.18766587968028633,0.14907255580486478,0.1681741524667626,0.20564912461002705,0.03423709155987359,0.13484597202886328,0.8715277777777778,0.734375
0,gaussian-random,0,2,0.1792112570761493,0.18766587968028633,0.12759250482651358,0.2880329790204095,0.320108135565803,0.02909585854191745,0.11529613385505949,0.8948412698412699,0.7265376984126983
0,gaussian-random,0,4,0.1792112570761493,0.18766587968028633,0.10528515808045415,0.41250812143058035,0.43897549059093033,0.02384409561706309,0.09433107035510767,0.9196428571428571,0.7265873015873016
0,gaussian-random,0,8,0.1792112570761493,0.18766587968028633,0.08335260835213744,0.5348918940023963,0.555845695050482,0.018581372030653985,0.07322804784336445,0.9444444444444444,0.7508928571428571
