chunk,positions,learned_oracle_kl,gaussian_oracle_kl_mean,learned_advantage
0,63,0.14806808322795262,0.15088677537723572,0.0028186921492830974
1,63,0.0955075419614852,0.08231911596217936,-0.013188425999305836
2,63,0.02619698306235242,0.021944825387706802,-0.004252157674645617
3,63,0.16865906796892424,0.12978870624652808,-0.03887036172239616
4,63,0.0825377179351621,0.0723500285150579,-0.010187689420104201
5,63,0.06518779999365093,0.053900502134595005,-0.011287297859055925
6,63,0.08164644516516764,0.07582593694145467,-0.005820508223712967
7,63,0.06138512373674178,0.048318025693030786,-0.013067098043710992
8,63,0.05237375843504604,0.04718758113480999,-0.0051861773002360514
9,63,0.05186467095062187,0.04971534969661919,-0.0021493212540026757
10,63,0.08251706177122374,0.08040021440061208,-0.0021168473706116575
11,63,0.09157774000820296,0.08672421114224822,-0.004853528865954734
12,63,0.13296437850558449,0.11934084510266028,-0.013623533402924201
13,63,0.056125189744366796,0.04590294355704652,-0.010222246187320275
14,63,0.050870897642384984,0.04505695020566525,-0.005813947436719737
15,63,0.06399939924373517,0.055200121331039215,-0.008799277912695955
16,63,0.06610800089430174,0.05956754711006805,-0.0065404537842336935
17,63,0.040672322780710764,0.03452658945623778,-0.006145733324472984
18,63,0.04767920688639629,0.044142782184166306,-0.003536424702229986
19,63,0.10642996634280018,0.09956347019322842,-0.0068664961495717575
20,63,0.04981938370431491,0.04315669519781803,-0.006662688506496879
21,63,0.06837473638605647,0.06389110991424271,-0.004483626471813759
22,63,0.07088932972315973,0.057923304803744705,-0.012966024919415023
23,63,0.10086583641936542,0.06972376028404065,-0.03114207613532477
24,63,0.06452876397026125,0.04846390496660781,-0.01606485900365344
25,63,0.0777826634409249,0.07478609073625049,-0.002996572704674405
26,63,0.1492486608246319,0.11710161652113107,-0.03214704430350082
27,63,0.06123466151279411,0.053129515528758275,-0.008105145984035833
28,63,0.08498369507930262,0.061608139043592504,-0.023375556035710114
29,63,0.038470436036124905,0.03270327722290496,-0.005767158813219944
30,63,0.07479353692138686,0.06433533688557014,-0.010458200035816725
31,63,0.05513185221563921,0.04431349883059748,-0.01081835338504173
