fold,basis,seed,components,identity_kl,baseline_kl,oracle_kl,recovered_from_identity,recovered_from_baseline,js,tv,top1_agreement,top10_overlap
0,gaussian-random,0,1,0.2409247742281902,0.23071240672297003,0.20786845236248863,0.137205988763914,0.09901485006790933,0.047889341054383534,0.19661979652445888,0.8373015873015873,0.7418650793650793
0,gaussian-random,0,2,0.2409247742281902,0.23071240672297003,0.18487882939085049,0.23262840036639898,0.19866108625512546,0.04289813682207142,0.177727550921825,0.8670634920634921,0.7388888888888888
0,gaussian-random,0,4,0.2409247742281902,0.23071240672297003,0.15640443714437816,0.3508162967240521,0.3220805098176529,0.036135418626516196,0.15079465528091335,0.8948412698412699,0.7418650793650793
0,gaussian-random,0,8,0.2409247742281902,0.23071240672297003,0.12725702420618978,0.471797682019786,0.44841707468729763,0.029288022730188525,0.12303502328352973,0.9285714285714286,0.7611111111111112
0,gaussian-random,0,16,0.2409247742281902,0.23071240672297003,0.09894344941846425,0.589318077663733,0.571139450956049,0.02271955932927295,0.09544001916295129,0.9543650793650794,0.8083333333333333
0,gaussian-random,0,32,0.2409247742281902,0.23071240672297003,0.07248533194764761,0.699137076376406,0.6858195318698876,0.016649807589010503,0.07117271865160849,0.9841269841269841,0.8740079365079366
0,gaussian-random,1,1,0.2409247742281902,0.23071240672297003,0.21054737500908818,0.12608665636988525,0.08740332607294576,0.048320292139360226,0.197474944589496,0.8154761904761905,0.7448412698412699
0,gaussian-random,1,2,0.2409247742281902,0.23071240672297003,0.1915100599544392,0.2051043294823146,0.16991867635277802,0.044107807541789605,0.18026873305290203,0.8472222222222222,0.7422619047619048
0,gaussian-random,1,4,0.2409247742281902,0.23071240672297003,0.1599095356957022,0.33626777815615994,0.3068880084645166,0.037169292411915016,0.15410365063828615,0.9007936507936508,0.7398809523809523
0,gaussian-random,1,8,0.2409247742281902,0.23071240672297003,0.13144308314786562,0.45442271941958845,0.43027301819231123,0.03040413553488705,0.12587858748402223,0.9365079365079365,0.7577380952380952
0,gaussian-random,1,16,0.2409247742281902,0.23071240672297003,0.10071335344719798,0.5819717844715793,0.5634679778269123,0.023207331695960284,0.09698731217747061,0.9642857142857143,0.8007936507936508
0,gaussian-random,1,32,0.2409247742281902,0.23071240672297003,0.07269216793367118,0.6982785677955173,0.6849230218427007,0.01667007725113081,0.0712367987785457,0.9761904761904762,0.8755952380952382
0,gaussian-random,2,1,0.2409247742281902,0.23071240672297003,0.20262334981568808,0.15897669525768732,0.12174922582733116,0.04668047640069172,0.19321602100824636,0.8353174603174603,0.7432539682539682
0,gaussian-random,2,2,0.2409247742281902,0.23071240672297003,0.18536411011837997,0.23061415866342716,0.19655768516620098,0.04262965845421646,0.17748568051510824,0.8571428571428571,0.7446428571428573
0,gaussian-random,2,4,0.2409247742281902,0.23071240672297003,0.15990617475107446,0.3362817283389028,0.30690257614501315,0.03669335707653839,0.1519009712015344,0.9107142857142857,0.7458333333333332
0,gaussian-random,2,8,0.2409247742281902,0.23071240672297003,0.1289462020541897,0.46478645682133457,0.44109550116642404,0.02957224637782988,0.12353038250799674,0.9484126984126984,0.7591269841269842
0,gaussian-random,2,16,0.2409247742281902,0.23071240672297003,0.10102475869321595,0.5806792430672527,0.5621182227338024,0.02326905959206341,0.09763624744399081,0.9702380952380952,0.801984126984127
