distribution,effective_support_mean,effective_support_median,nucleus_95_mean,nucleus_95_median,top16_mass_mean,top32_mass_mean
BF16,31.468780485785658,9.670387953560619,202.43154761904762,31.0,0.8588253856060417,0.9014480697932653
Q2,45.52751531358082,15.127024293185704,311.8983134920635,62.0,0.8202336875900356,0.8707942101468229
