label,kind,model_bytes,added_bytes,kl_recovery,js_recovery,kl_reduction_per_mib,mean_chunk_kl_reduction,chunk_interval_low,chunk_interval_high,improved_chunks,kl,js,tv,acceptance,top1_agreement,top10_overlap,marginal_kl_per_mib
Q2 baseline,base,1940825248,0,0.0,0.0,,0.0,0.0,0.0,0,0.2214712678849425,0.051045461795002973,0.2140512928010197,0.7859487071989804,0.7733134920634921,0.7571924603174603,
Q4-gate-only,hybrid,1951884672,11059424,0.02341708128526576,0.023379146416228402,0.0004917196458442538,0.00518621068241258,0.001779235052743479,0.00859318631208168,23,0.21628505720252994,0.04985206246981361,0.21129959650675623,0.7887004034932438,0.7842261904761905,0.7615079365079367,0.0004917196458442538
Q4-up-only,hybrid,1951884672,11059424,0.02964171161465856,0.026471019397919626,0.0006224264996914183,0.0065647874535782694,0.0024386993140638703,0.010690875593092668,24,0.21490648043136426,0.04969423638565169,0.21105304200625777,0.7889469579937423,0.779265873015873,0.7618551587301587,
Q4-down-only,hybrid,1959257472,18432224,-0.0049161119975655865,-0.003655446707872434,-6.193859274833429e-05,-0.0010887775571651946,-0.003163009058272633,0.0009854539439422437,13,0.22256004544210772,0.05123205576027334,0.21440048209758913,0.7855995179024109,0.7733134920634921,0.7585813492063493,-0.0010885070237501814
Q4-all-FFN,hybrid,1981375872,40550624,0.049511158787759135,0.046569040003264894,0.00028354556222864256,0.010965299111177728,0.005766656874902069,0.016163941347453387,28,0.2105059687737648,0.04866832364268635,0.20859155738430168,0.7914084426156983,0.7901785714285714,0.7645337301587302,0.0005714525235362576
Q4-full-blocks,benchmark,2011010368,70185120,0.0681387631187036,0.06291183957330804,0.0002254584433961121,0.015090778260011064,0.009787455019666186,0.020394101500355942,26,0.20638048962493147,0.04783409789161032,0.2065845400911207,0.7934154599088793,0.7872023809523809,0.7649305555555557,
