document,positions,chunks,baseline_kl,candidate_kl,kl_reduction,kl_recovery,baseline_js,candidate_js,js_recovery,baseline_tv,candidate_tv,baseline_top1,candidate_top1,baseline_top10,candidate_top10,improved_chunks,chunk_interval_low,chunk_interval_high
stdlib-argparse,2016,32,0.22587414305686812,0.22056137420566388,0.0053127688512042415,0.02352092532285399,0.050360060617597076,0.04906016690261373,0.02581199663070166,0.17645711987861246,0.17285379331851128,0.8363095238095238,0.8338293650793651,0.7287202380952381,0.7300099206349207,21,-0.00041479617183133675,0.011040333874239795
llama-sampling,2016,32,0.1840590104915672,0.17984536836025466,0.004213642131312534,0.02289288701519765,0.04045294345263128,0.0396332621524759,0.020262587347078642,0.14588231047183456,0.1440221583372058,0.8630952380952381,0.8621031746031746,0.7221230158730159,0.7243551587301587,22,-0.002076659244281383,0.010503943506906421
server-docs,2016,32,0.24927752942262438,0.22996022690785678,0.019317302514767598,0.07749315616016517,0.0528229572349017,0.05001044658191202,0.05324409688920961,0.18084480439678002,0.17550311180146252,0.8288690476190477,0.8288690476190477,0.7115575396825397,0.7205853174603176,24,0.007757850619981511,0.030876754409553685
gpl3,2016,32,1.2777417052959978,1.2549806209064058,0.022761084389592012,0.01781352545295467,0.22214269961259062,0.21808273154680047,0.018276396536418216,0.42325359643661237,0.4165060953302574,0.6354166666666666,0.6537698412698413,0.44910714285714287,0.45153769841269836,22,0.005985992074405037,0.03953617670477948
