quant,fold,test_chunks,inner_validation_chunks,train_positions,test_positions,temperature,head,method,selected_components,selected_alpha,scale,kl,js,tv,top1_agreement,top10_overlap
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,identity,0,0.1,1.0280901469768742,0.2409247742281902,0.05531911007802856,0.2231222599647373,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,target-temperature,0,0.1,1.0280901469768742,0.2385883634767419,0.05388221006922634,0.21840104790236323,0.7916666666666666,0.748015873015873
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,target-temperature+token,0,0.1,1.0280901469768742,0.23071240672297003,0.05273323083321023,0.2172878845505675,0.7896825396825397,0.7529761904761905
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,low-rank-predicted,0,0.1,1.0280901469768742,0.23071240672297003,0.05273323083321023,0.2172878845505675,0.7896825396825397,0.7529761904761905
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,128,low-rank-oracle-16,0,0.1,1.0280901469768742,0.09798343035587337,0.022256516638234372,0.09392361685206374,0.9523809523809523,0.8226190476190477
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,identity,0,0.1,1.026347383896415,0.20671004385424532,0.048020227773725235,0.20122285288533392,0.7857142857142857,0.7589285714285714
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,target-temperature,0,0.1,1.026347383896415,0.20387658928759916,0.04663361621750608,0.19629483440156167,0.7857142857142857,0.7589285714285714
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,target-temperature+token,0,0.1,1.026347383896415,0.20129327682481188,0.04634864550367321,0.19708107333424602,0.7876984126984127,0.7569444444444444
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,low-rank-predicted,0,0.1,1.026347383896415,0.20129327682481188,0.04634864550367321,0.19708107333424602,0.7876984126984127,0.7569444444444444
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,128,low-rank-oracle-16,0,0.1,1.026347383896415,0.08007528366769502,0.018397160080236,0.08272538514322665,0.9563492063492064,0.8253968253968254
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,identity,1,1000.0,1.0296383320160254,0.20688369990381344,0.04776320985448323,0.20661873656823754,0.7400793650793651,0.7742063492063493
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,target-temperature,1,1000.0,1.0296383320160254,0.20502853841791627,0.04652888547246363,0.20183719028529812,0.7400793650793651,0.7742063492063493
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,target-temperature+token,1,1000.0,1.0296383320160254,0.20714876891199055,0.04731896624880196,0.2054327056458901,0.75,0.773015873015873
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,low-rank-predicted,1,1000.0,1.0296383320160254,0.20906684908325732,0.04721255907440427,0.2042966003276788,0.7559523809523809,0.7710317460317461
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,128,low-rank-oracle-16,1,1000.0,1.0296383320160254,0.0933393434874628,0.021452561297105863,0.09732488864708508,0.9285714285714286,0.8293650793650794
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,identity,0,0.1,1.0333700801977017,0.2313405713328227,0.05307770140217575,0.22524132622460416,0.7757936507936508,0.7476190476190476
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,target-temperature,0,0.1,1.0333700801977017,0.23098718494644724,0.05198651944795731,0.2203100525341804,0.7757936507936508,0.7476190476190476
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,target-temperature+token,0,0.1,1.0333700801977017,0.2320516067184085,0.0527001335167186,0.2232109441442628,0.7857142857142857,0.7529761904761905
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,low-rank-predicted,0,0.1,1.0333700801977017,0.2320516067184085,0.0527001335167186,0.2232109441442628,0.7857142857142857,0.7529761904761905
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,128,low-rank-oracle-16,0,0.1,1.0333700801977017,0.1087615393974886,0.024525567890389212,0.10959665524791877,0.9404761904761905,0.8128968253968255
