model,pp128_tokens_per_second,pp128_stddev,pp128_change_percent,tg32_tokens_per_second,tg32_stddev,tg32_change_percent
Q2 baseline,5419.031215,417.088204,0.0000,230.214418,4.902805,0.0000
early-Q4-2,5408.830144,589.664485,-0.1882,221.456184,4.982806,-3.8044
early-Q8-2,5526.521795,353.272560,1.9836,221.637650,3.969347,-3.7256
