label,chunk,kl,js,tv,acceptance,top1_agreement,top10_overlap
Q2 baseline,0,0.35898461140921367,0.08311877704161613,0.28655974749643875,0.7134402525035612,0.5873015873015873,0.7
Q2 baseline,1,0.21239786586594409,0.05201038475525632,0.17994099707946243,0.8200590029205376,0.7777777777777778,0.703174603174603
Q2 baseline,2,0.17833410451074752,0.03926237301439167,0.1309086865832421,0.8690913134167579,0.873015873015873,0.7555555555555554
Q2 baseline,3,0.2822677170427466,0.06550403722979224,0.1950466020306709,0.8049533979693291,0.8095238095238095,0.6984126984126984
Q2 baseline,4,0.24175788397342474,0.05620725734325384,0.18602625204215337,0.8139737479578466,0.8571428571428571,0.7253968253968256
Q2 baseline,5,0.1580995082370623,0.03718023859134215,0.14556777287997114,0.8544322271200289,0.873015873015873,0.7492063492063491
Q2 baseline,6,0.1495985792504461,0.033019438067871276,0.14602794752378637,0.8539720524762137,0.7936507936507936,0.7857142857142858
Q2 baseline,7,0.13201452221579124,0.03074133730193093,0.13442801752512062,0.8655719824748793,0.9206349206349206,0.7634920634920636
Q2 baseline,8,0.16326458399037488,0.03818255164110053,0.14990605675819327,0.8500939432418068,0.8253968253968254,0.7587301587301587
Q2 baseline,9,0.13931199623847432,0.03281125299895754,0.14209975549694343,0.8579002445030566,0.873015873015873,0.7476190476190475
Q2 baseline,10,0.16973725849317226,0.039077650945684925,0.16947534063827277,0.8305246593617273,0.7936507936507936,0.7603174603174603
Q2 baseline,11,0.17066969484966693,0.041410525282752506,0.17885826208299796,0.8211417379170021,0.8571428571428571,0.7365079365079363
Q2 baseline,12,0.24157547686823702,0.054980948473033975,0.21844320466080386,0.7815567953391962,0.746031746031746,0.746031746031746
Q2 baseline,13,0.20502522161543657,0.050448634648077244,0.18723083123814643,0.8127691687618536,0.873015873015873,0.7444444444444446
Q2 baseline,14,0.11473896053755038,0.028002429118873445,0.1268947158327108,0.8731052841672892,0.873015873015873,0.7841269841269841
Q2 baseline,15,0.13255983339273833,0.03240742839211129,0.13260833835501837,0.8673916616449816,0.9047619047619048,0.7460317460317459
Q2 baseline,16,0.1482121334580976,0.03508669371424889,0.14801920655355344,0.8519807934464465,0.8888888888888888,0.7555555555555555
Q2 baseline,17,0.1194432800643087,0.030789449948647487,0.14744947664070104,0.8525505233592989,0.873015873015873,0.7888888888888889
Q2 baseline,18,0.17403554333193622,0.04273705961779544,0.1794410046873126,0.8205589953126874,0.8253968253968254,0.7555555555555555
Q2 baseline,19,0.1704865397815223,0.03860359376914049,0.17100598794289879,0.8289940120571012,0.8253968253968254,0.7539682539682541
Q2 baseline,20,0.1020063348240376,0.024134349623463572,0.11405027983259754,0.8859497201674025,0.9047619047619048,0.7682539682539683
Q2 baseline,21,0.16436789067746657,0.03765970632674806,0.16486892175106777,0.8351310782489323,0.8571428571428571,0.765079365079365
Q2 baseline,22,0.21351809698593108,0.04599090528432816,0.1719626155843596,0.8280373844156403,0.8888888888888888,0.7555555555555554
Q2 baseline,23,0.17707017404782596,0.033235412310955684,0.13532708583968794,0.864672914160312,0.873015873015873,0.765079365079365
Q2 baseline,24,0.13610069014664208,0.03003144261889709,0.12929843361087565,0.8707015663891243,0.9206349206349206,0.7365079365079366
Q2 baseline,25,0.18046210392005002,0.04176749388993596,0.17809529383001582,0.8219047061699842,0.8095238095238095,0.7999999999999999
Q2 baseline,26,0.2562551475548678,0.05330233975345191,0.19617814797496225,0.8038218520250378,0.7777777777777778,0.7428571428571428
Q2 baseline,27,0.22004992395107234,0.05198352973093279,0.19949734342166237,0.8005026565783376,0.8095238095238095,0.7555555555555554
Q2 baseline,28,0.16817225408574035,0.04077886914710111,0.18310668597474605,0.8168933140252539,0.7142857142857143,0.7603174603174603
Q2 baseline,29,0.11027350930765221,0.028601543958964772,0.1104521518793176,0.8895478481206824,0.9523809523809523,0.7952380952380953
Q2 baseline,30,0.17802743478086852,0.04116456786222342,0.17475438228113546,0.8252456177188645,0.8571428571428571,0.8063492063492064
Q2 baseline,31,0.1660715491083725,0.04052326230623929,0.16528413474715928,0.8347158652528407,0.8571428571428571,0.7682539682539681
early-Q4-2,0,0.31001547239245,0.07263939328701478,0.2657375796932481,0.7342624203067518,0.6507936507936508,0.7285714285714286
early-Q4-2,1,0.2000396624521633,0.04912672790983595,0.1694886243363033,0.8305113756636967,0.7777777777777778,0.7111111111111109
early-Q4-2,2,0.2071216562169808,0.04164860910454702,0.13226613744541643,0.8677338625545836,0.8571428571428571,0.7444444444444446
early-Q4-2,3,0.24987963802002938,0.05841327362401036,0.18454715472419247,0.8154528452758075,0.8412698412698413,0.7158730158730159
early-Q4-2,4,0.23909380459343313,0.0559585672393669,0.18797345080222133,0.8120265491977787,0.873015873015873,0.7333333333333332
early-Q4-2,5,0.16013738610883363,0.038694684254190335,0.15318717181429428,0.8468128281857057,0.873015873015873,0.7603174603174602
early-Q4-2,6,0.13605323511324563,0.03152378359844454,0.14631394243573712,0.8536860575642629,0.8095238095238095,0.7841269841269841
early-Q4-2,7,0.11701720995557797,0.027496265539830634,0.12931331809765348,0.8706866819023465,0.9206349206349206,0.7634920634920634
early-Q4-2,8,0.15462256029931024,0.03620247147814047,0.14644790860470422,0.8535520913952958,0.8571428571428571,0.7587301587301587
early-Q4-2,9,0.14740509932790513,0.03289197110401195,0.14543167750133082,0.8545683224986692,0.8571428571428571,0.7523809523809523
early-Q4-2,10,0.14312008949410585,0.03318213358406432,0.15669147315571855,0.8433085268442815,0.8095238095238095,0.7746031746031744
early-Q4-2,11,0.15144147469647348,0.03695393386055551,0.16496831720181193,0.8350316827981881,0.8888888888888888,0.7476190476190475
early-Q4-2,12,0.2331465589961717,0.05460850869476128,0.21910839694984524,0.7808916030501547,0.7142857142857143,0.7555555555555554
early-Q4-2,13,0.2771846029236691,0.06379179521256505,0.2109755719769358,0.7890244280230642,0.7936507936507936,0.7317460317460318
early-Q4-2,14,0.11668076306326954,0.027649243456546665,0.12331250009782029,0.8766874999021798,0.8571428571428571,0.784126984126984
early-Q4-2,15,0.13746677221171835,0.032619981868828335,0.12845314624659265,0.8715468537534073,0.9206349206349206,0.7412698412698411
early-Q4-2,16,0.14264258910672709,0.03430271741562469,0.1459165051234618,0.8540834948765382,0.9047619047619048,0.7603174603174603
early-Q4-2,17,0.130891253569326,0.03323468691272114,0.15062440632812915,0.8493755936718709,0.873015873015873,0.7888888888888889
early-Q4-2,18,0.1724217815895278,0.04232460448321533,0.17714556722692953,0.8228544327730705,0.8412698412698413,0.7603174603174603
early-Q4-2,19,0.15803870855505386,0.03411745171586748,0.15819499205284204,0.841805007947158,0.8571428571428571,0.773015873015873
early-Q4-2,20,0.09318186302155641,0.02222303185188803,0.10931466502231724,0.8906853349776828,0.9047619047619048,0.7825396825396825
early-Q4-2,21,0.14765343444915266,0.034228841152821946,0.15598376060093178,0.8440162393990682,0.8571428571428571,0.7761904761904762
early-Q4-2,22,0.19178764775556156,0.04280845072352104,0.164557942339877,0.835442057660123,0.8888888888888888,0.7476190476190475
early-Q4-2,23,0.1533334940373491,0.03280793710812773,0.13168066282828694,0.8683193371717131,0.873015873015873,0.7777777777777776
early-Q4-2,24,0.1616723951696518,0.03260370056492926,0.13175166144436742,0.8682483385556325,0.9047619047619048,0.746031746031746
early-Q4-2,25,0.17682789355546,0.04113280712102543,0.1792722978344601,0.8207277021655399,0.8253968253968254,0.8047619047619046
early-Q4-2,26,0.2143603750781848,0.047502363025762585,0.1883750950948438,0.8116249049051563,0.7619047619047619,0.7587301587301588
early-Q4-2,27,0.19331093191073115,0.04581613934669082,0.1859231785139335,0.8140768214860665,0.8571428571428571,0.7634920634920634
early-Q4-2,28,0.1624012903545037,0.0386475143912119,0.17311003466602415,0.8268899653339759,0.7301587301587301,0.7682539682539681
early-Q4-2,29,0.09485551341721374,0.02410668336229387,0.0972992050526897,0.9027007949473103,0.9523809523809523,0.8031746031746031
early-Q4-2,30,0.1638898162526034,0.03784546643654476,0.16779064248862957,0.8322093575113705,0.7936507936507936,0.8126984126984126
early-Q4-2,31,0.16290155431041,0.038364525042526215,0.1581541132500639,0.8418458867499361,0.8888888888888888,0.7777777777777776
early-Q8-2,0,0.28805224779168226,0.06807124167638297,0.25752222516149187,0.7424777748385081,0.6666666666666666,0.7428571428571427
early-Q8-2,1,0.19983882204080203,0.048807399552782633,0.168154801057556,0.831845198942444,0.7777777777777778,0.7111111111111109
early-Q8-2,2,0.1920928330344915,0.04048635975966897,0.1318070158753298,0.8681929841246702,0.873015873015873,0.7412698412698413
early-Q8-2,3,0.25156063976786364,0.057839945866317875,0.1825769909516985,0.8174230090483015,0.8095238095238095,0.7222222222222222
early-Q8-2,4,0.23713888814404888,0.0556195633081614,0.18710884197987201,0.812891158020128,0.873015873015873,0.7285714285714284
early-Q8-2,5,0.1510661849396355,0.03651739003290127,0.14824344920796445,0.8517565507920355,0.873015873015873,0.7619047619047619
early-Q8-2,6,0.13845983939799703,0.03200687573292718,0.14768105428360978,0.8523189457163902,0.8095238095238095,0.7841269841269841
early-Q8-2,7,0.11233566480361679,0.02639856975841371,0.12653206546729917,0.8734679345327008,0.9047619047619048,0.7666666666666665
early-Q8-2,8,0.15781775950456486,0.036561274511335624,0.14556099516237966,0.8544390048376204,0.8571428571428571,0.7587301587301587
early-Q8-2,9,0.13701498834069797,0.030965921995846742,0.14089977609950843,0.8591002239004916,0.8888888888888888,0.7619047619047618
early-Q8-2,10,0.1428282304605957,0.03339297525570377,0.15681131450008481,0.8431886854999152,0.8095238095238095,0.7730158730158728
early-Q8-2,11,0.15204550448753354,0.03708251515998864,0.16495485339010696,0.835045146609893,0.8571428571428571,0.7412698412698412
early-Q8-2,12,0.22528373246544986,0.05251891173605737,0.21321915873901046,0.7867808412609896,0.6984126984126984,0.7555555555555554
early-Q8-2,13,0.2792969779617297,0.06291632188849834,0.2091173656355952,0.7908826343644049,0.7936507936507936,0.7269841269841271
early-Q8-2,14,0.11328490692309089,0.02694208457519597,0.12218634233662641,0.8778136576633736,0.8571428571428571,0.7936507936507934
early-Q8-2,15,0.12520239236792327,0.02997559613905896,0.12248324173953502,0.8775167582604649,0.9206349206349206,0.7507936507936506
early-Q8-2,16,0.13888743686991456,0.03356444630405768,0.1440150082563623,0.8559849917436377,0.8571428571428571,0.7587301587301586
early-Q8-2,17,0.1327145782443473,0.033658734658808774,0.15161420632198097,0.848385793678019,0.8412698412698413,0.7873015873015872
early-Q8-2,18,0.17045373956524498,0.04137884577527717,0.17514891356381307,0.8248510864361869,0.8412698412698413,0.7634920634920634
early-Q8-2,19,0.1539476457304166,0.03343016408470003,0.15629330139315228,0.8437066986068478,0.873015873015873,0.7793650793650794
