label,kind,model_bytes,added_bytes,kl_recovery,js_recovery,mean_chunk_kl_reduction,chunk_interval_low,chunk_interval_high,improved_chunks,kl,js,tv,acceptance,top1_agreement,top10_overlap,marginal_kl_per_mib
Q2 baseline,base,1940825248,0,0.0,0.0,0.0,0.0,0.0,0,0.2214712678849425,0.051045461795002973,0.2140512928010197,0.7859487071989804,0.7733134920634921,0.7571924603174603,
early-Q4-2,hybrid,2011010368,70185120,0.0681387631187036,0.06291183957330804,0.015090778260011064,0.009787455019666186,0.020394101500355942,26,0.20638048962493147,0.04783409789161032,0.2065845400911207,0.7934154599088793,0.7872023809523809,0.7649305555555557,0.0002254584433961121
early-Q8-2,hybrid,2132538688,191713440,0.07185365891135698,0.06844900159367551,0.015913520941270444,0.009716169005443637,0.022110872877097253,29,0.20555774694367207,0.047551450899246915,0.20599431565839646,0.7940056843416036,0.7822420634920635,0.7686507936507937,7.098824617539796e-06
Q4_K_XL,benchmark,2912109728,971284480,0.925278810785856,0.9201180226327258,0.20492267137181536,0.18195199450442437,0.22789334823920634,32,0.01654859651312715,0.004077612423810489,0.056625051152665376,0.9433749488473346,0.9360119047619048,0.9227182539682541,
