label,role,is_primary,kl_recovery,js_recovery,mean_chunk_kl_reduction,chunk_interval_low,chunk_interval_high,improved_chunks,kl,js,tv,acceptance,top1_agreement,top10_overlap
Q2 baseline,baseline,False,0.0,0.0,0.0,0.0,0.0,0,0.17921532576616933,0.04158610889716,0.16496292752424957,0.8350370724757504,0.839781746031746,0.7555555555555555
early-Q4-2,diagnostic,False,0.04085411911576031,0.041545739148104,0.00732168426622089,-0.0006077181715430932,0.015251086703984874,24,0.17189364149994846,0.03985838326473395,0.16060347190473792,0.8393965280952621,0.8442460317460317,0.7621527777777778
early-Q8-2,preselected,True,0.05411006723402734,0.05545485620875079,0.009697353326575554,0.0014342164811068647,0.017960490172044243,27,0.1695179724395938,0.03927995720798654,0.15935889356163238,0.8406411064383676,0.8402777777777778,0.7632936507936507
Q4_K_XL,benchmark,False,0.9287494328706608,0.9245455909707706,0.1664461321670605,0.1478147541319834,0.1850775102021376,32,0.012769193599108832,0.003137855270660387,0.04121493677888453,0.9587850632211155,0.9553571428571429,0.9228174603174605
