model,pp128_tokens_per_second,pp128_stddev,pp128_change_percent,tg32_tokens_per_second,tg32_stddev,tg32_change_percent
Q2 baseline,5940.984805,478.676133,0.0000,233.810833,1.289514,0.0000
Q4-up-only,5940.765619,438.388717,-0.0037,232.583556,1.580887,-0.5249
Q4-gate+up,6002.110821,357.437753,1.0289,232.026411,1.402367,-0.7632
Q4-all-FFN,5968.326688,428.325778,0.4602,230.415349,1.363115,-1.4522
