label,role,is_primary,kl_recovery,js_recovery,mean_chunk_kl_reduction,chunk_interval_low,chunk_interval_high,improved_chunks,kl,js,tv,acceptance,top1_agreement,top10_overlap
Q2 baseline,baseline,False,0.0,0.0,0.0,0.0,0.0,0,0.17921532576616933,0.04158610889716,0.16496292752424957,0.8350370724757504,0.839781746031746,0.7555555555555555
Q4-up-only,diagnostic,False,0.012845877137235506,0.016712125358005592,0.0023021780559018675,-0.0012135751279581468,0.005817931239761882,20,0.17691314771026748,0.040891116632118994,0.16289360386143392,0.8371063961385661,0.8387896825396826,0.7550595238095239
Q4-gate+up,preselected,True,0.03026480596613923,0.03475395268001169,0.005423917060471559,0.0017434098737487526,0.009104424247194366,24,0.1737914087056978,0.04014082723640229,0.16146009856445623,0.8385399014355438,0.8452380952380952,0.7583333333333334
Q4-all-FFN,diagnostic,False,0.04751724280306957,0.04627822128985848,0.008515818148462282,0.00497652831381706,0.012055107983107504,28,0.17069950761770705,0.03966157774703308,0.16076877074433765,0.8392312292556623,0.8467261904761905,0.7601686507936508
Q8-full-blocks,benchmark,False,0.05411006723402734,0.05545485620875079,0.009697353326575554,0.0014342164811068647,0.017960490172044243,27,0.1695179724395938,0.03927995720798654,0.15935889356163238,0.8406411064383676,0.8402777777777778,0.7632936507936507
