label,role,kl,kl_recovery_from_q2,js,js_recovery_from_q2,tv,top1_agreement,top10_overlap
Q2 baseline,base,0.2214712678849425,0.0,0.051045461795002973,0.0,0.2140512928010197,0.7733134920634921,0.7571924603174603
Q4 gate+up blocks 0-1,current,0.21036329914126767,0.05015534904259267,0.048739028515346686,0.04518390467146427,0.2086915661921878,0.7867063492063492,0.7643849206349206
Q4 gate+up blocks 0-2,extension,0.20961997375748107,0.05351165521668644,0.048572592741896375,0.048444444739036086,0.20816382442120493,0.7891865079365079,0.7638888888888888
