label,kind,model_bytes,added_bytes,kl_recovery,js_recovery,kl_reduction_per_mib,mean_chunk_kl_reduction,chunk_interval_low,chunk_interval_high,improved_chunks,kl,js,tv,acceptance,top1_agreement,top10_overlap,marginal_kl_per_mib
Q2 baseline,base,1940825248,0,0.0,0.0,,0.0,0.0,0.0,0,0.2214712678849425,0.051045461795002973,0.2140512928010197,0.7859487071989804,0.7733134920634921,0.7571924603174603,
Q4-block0-gate+up,hybrid,1951884672,11059424,0.0230759064267817,0.0212531844947651,0.0004845555429169482,0.005110650253933668,0.001954098902025199,0.008267201605842137,23,0.21636061763100886,0.04996058317785329,0.21141341860165344,0.7885865813983466,0.7797619047619048,0.7619543650793651,0.0004845555429169482
Q4-block1-gate+up,hybrid,1951884672,11059424,0.02806304549481986,0.024995870539296527,0.0005892771444879667,0.006215158266450599,0.0029765142763023794,0.009453802256598818,24,0.21525610961849193,0.04976953604035647,0.2108546574000785,0.7891453425999215,0.7822420634920635,0.7602678571428572,
Q4-blocks0+1-gate+up,hybrid,1962943872,22118624,0.05015534904259267,0.04518390467146427,0.0005265946667101709,0.011107968743674847,0.0051220011323024305,0.017093936355047263,27,0.21036329914126767,0.048739028515346686,0.2086915661921878,0.7913084338078122,0.7867063492063492,0.7643849206349206,0.00046391091932200366
Q4-all-FFN,benchmark,1981375872,40550624,0.049511158787759135,0.046569040003264894,0.00028354556222864256,0.010965299111177728,0.005766656874902069,0.016163941347453387,28,0.2105059687737648,0.04866832364268635,0.20859155738430168,0.7914084426156983,0.7901785714285714,0.7645337301587302,
