chunk,outer_fold,positions,method,candidate_temperature,candidate_top_p,sampler_js,sampler_tv,sampler_support_jaccard
19,2,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.06486425377310269,0.22279293764205205,0.6508584607735105
20,2,63,same-settings,0.8,0.95,0.046660873092829236,0.18716066939726708,0.6859303962096669
20,2,63,q2-frozen-temperature,0.7625,0.95,0.045886392967538936,0.1849828464466901,0.7191074077722255
20,2,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.046221235652439414,0.185773937859469,0.7186007884825315
21,2,63,same-settings,0.8,0.95,0.09702854748955736,0.2603762591819441,0.639542980441962
21,2,63,q2-frozen-temperature,0.7625,0.95,0.09608530991208104,0.2587026373320629,0.6766847611379877
21,2,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.09597583233733617,0.25870383184935364,0.6882642759676975
22,2,63,same-settings,0.8,0.95,0.029129352346653977,0.09472143493356212,0.8073192094228359
22,2,63,q2-frozen-temperature,0.7625,0.95,0.0274751250662597,0.08982405702154787,0.8376006863173648
22,2,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.027319530144311665,0.08922421896741503,0.8359647490051887
23,2,63,same-settings,0.8,0.95,0.05098075241345676,0.19797389729628487,0.6903724698613124
23,2,63,q2-frozen-temperature,0.7625,0.95,0.0492188128788719,0.1934715271705673,0.7178823184335312
23,2,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.049107171469441956,0.1927327692863487,0.7176727983822971
24,3,63,same-settings,0.8,0.95,0.08300212448063705,0.2510438843645037,0.6086936289188641
24,3,63,q2-frozen-temperature,0.7625,0.95,0.08088458739110224,0.244446057042787,0.6517075215764928
24,3,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.0806608860536168,0.242900814594967,0.6578462048565314
25,3,63,same-settings,0.8,0.95,0.09507147209822303,0.28257435288221117,0.5035642674804882
25,3,63,q2-frozen-temperature,0.7625,0.95,0.09201628698538693,0.27502453167523655,0.5473533729772259
25,3,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.09151251758596608,0.2734404193858306,0.5541364229650849
26,3,63,same-settings,0.8,0.95,0.05009680769834963,0.18099838113855748,0.6730608191897773
26,3,63,q2-frozen-temperature,0.7625,0.95,0.04954423590208448,0.1793865282975492,0.6900942908546908
26,3,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.049923640406054876,0.17968243002773276,0.6908953984475091
27,3,63,same-settings,0.8,0.95,0.0650668201509804,0.23873605342611434,0.6179216257654033
27,3,63,q2-frozen-temperature,0.7625,0.95,0.06575396463334088,0.23787606259187064,0.6389630127078249
27,3,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.06595648544293548,0.23778464012439288,0.6425333790631969
28,3,63,same-settings,0.8,0.95,0.0547288427543309,0.20152548384217042,0.6439551842590759
28,3,63,q2-frozen-temperature,0.7625,0.95,0.05500220093462202,0.19996251946403867,0.6490109479659084
28,3,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.0554721158770253,0.2002836378025157,0.646988260492902
29,3,63,same-settings,0.8,0.95,0.07653545938240039,0.2475365147822433,0.6465794271906079
29,3,63,q2-frozen-temperature,0.7625,0.95,0.07589914264445681,0.24431799018075542,0.683297748650506
29,3,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.07643129518865385,0.24424668502003427,0.6804793373684165
30,3,63,same-settings,0.8,0.95,0.04990730383655145,0.1771642699364632,0.6576795955617089
30,3,63,q2-frozen-temperature,0.7625,0.95,0.04881847994808581,0.17432114612015467,0.6719593192777029
30,3,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.04866839157203064,0.17472793637878364,0.6774408478215191
31,3,63,same-settings,0.8,0.95,0.05622626125391218,0.21718283789971518,0.6316177869757428
31,3,63,q2-frozen-temperature,0.7625,0.95,0.055293236881317126,0.2138125685354074,0.6505642402907256
31,3,63,hybrid-tuned-temperature,0.7499999999999998,0.95,0.05538269728865652,0.2130721877255137,0.6540885245562424
