document,positions,chunks,q2_js,baseline_js,corrected_js,model_js_recovery,js_reduction,js_recovery,total_js_recovery,baseline_tv,corrected_tv,baseline_support,corrected_support,improved_chunks,chunk_interval_low,chunk_interval_high
code-lab,2016,32,0.05128543860863078,0.04937272876997581,0.048895684947597474,0.0372953783870551,0.0004770438223783355,0.009662091487810054,0.046597118516816916,0.15436347231355732,0.15229917324188771,0.724745995138624,0.7396784422523214,25,0.0001509430650219859,0.0008031445797346879
real-logits,2016,32,0.049510400615381804,0.047812820364426786,0.04726840935213731,0.03428734629199537,0.0005444110122894766,0.011386297820124458,0.04528323817577751,0.15028665742665043,0.1477961856421427,0.7284797422844564,0.7478774547383453,21,0.00018438871669941754,0.0009044333078795447
low-rank-controls,2016,32,0.05049551309551383,0.04840039217165285,0.047578667017452135,0.041491229525641105,0.000821725154200717,0.01697765487697811,0.05776446062731144,0.15304135900551624,0.15042515726097572,0.7185312913191161,0.7447452054254052,28,0.0005229020123661386,0.0011205482960352912
gap-calibration,2016,32,0.04875844424460079,0.048167664956518065,0.04725466871526343,0.012116450744798835,0.0009129962412546336,0.018954546417784934,0.0308413353345226,0.15385768771964303,0.15094590949639308,0.7069919117927574,0.7324939097495301,29,0.0005075311008058087,0.0013184613817034511
hidden-adapter,2016,32,0.049057811053754695,0.04726165161265806,0.04667833459266076,0.036613118329484995,0.0005833170199972953,0.012342290209787499,0.0485035188073647,0.15145723255617277,0.14877220096426003,0.7248294354599907,0.7442640002146866,24,0.00014590565796996225,0.001020728382024621
stdlib-argparse,2016,32,0.05913718958466537,0.05782457675797608,0.05712606580164714,0.02219606369372784,0.0006985109563289391,0.012079828258018122,0.03400776731432176,0.16509304302772285,0.16279679052448565,0.7235286254292906,0.7415201306619612,25,0.0004647153290850232,0.0009323065835728499
llama-sampling,2016,32,0.047566798853335424,0.046841368643143026,0.04611502239911729,0.015250767923844166,0.0007263462440257329,0.015506511980026505,0.03052079368835492,0.13569566395040417,0.13316425735718526,0.7591134931098268,0.7748673148718748,26,0.00040581209029942546,0.001046880397752043
server-docs,2016,32,0.0625766876088572,0.059444135766849315,0.058581986831573625,0.05005940649316987,0.0008621489352756903,0.014503515345183793,0.06383688446810931,0.16717680857982486,0.16440702517681371,0.708144902253259,0.7317217110776526,26,0.0005173311053334561,0.0012069667652179204
gpl3,2016,32,0.21929498085130092,0.2149901020467431,0.21401988944443662,0.01963053959487049,0.0009702126023064805,0.0045128245117793675,0.024054774926386635,0.383413253057312,0.37927149013049777,0.506831959716413,0.5224330870277843,28,0.0005544913089946361,0.0013859338956183388
