document,chunk,positions,baseline_js,corrected_js,js_reduction,baseline_tv,corrected_tv
code-lab,0,63,0.1014575952486623,0.10027697861992887,0.0011806166287334219,0.29256580770015717,0.2890077656696713
code-lab,1,63,0.05336988669735128,0.052439362198735275,0.0009305244986160047,0.16355832867206088,0.16093432181884373
code-lab,2,63,0.044323952933256,0.04431783195422401,6.120979031992713e-06,0.11644300898270947,0.11475993453391961
code-lab,3,63,0.07165629119198355,0.07013855410355424,0.0015177370884293107,0.1798170658331069,0.17533256763976718
code-lab,4,63,0.06246458023919591,0.062350336137035535,0.00011424410216037684,0.1678252693797861,0.16599879260101016
code-lab,5,63,0.04678629867969051,0.04671928768474904,6.701099494146878e-05,0.1370115970808362,0.13605525563397106
code-lab,6,63,0.04485508624375576,0.04425050124585155,0.0006045849979042089,0.14762376621365547,0.14594896152497283
code-lab,7,63,0.033805565298756675,0.03336951895690863,0.00043604634184804536,0.1168930951860689,0.1138227346634108
code-lab,8,63,0.04686975401515762,0.04632585903718358,0.0005438949779740382,0.14323228284243553,0.1405638757915724
code-lab,9,63,0.040694828311513574,0.04167044853157778,-0.0009756202200642064,0.13999011929309557,0.1405925757236897
code-lab,10,63,0.044846084920988814,0.04352740054055753,0.0013186843804312842,0.15966903882485534,0.15610511855237066
code-lab,11,63,0.0471607407274109,0.0458837328183036,0.0012770079091073,0.16016936775237794,0.15751324783241938
code-lab,12,63,0.06344956795533468,0.06327241944843932,0.000177148506895361,0.2065822221338749,0.20669571600026554
code-lab,13,63,0.057120575765443465,0.05577163917145559,0.0013489365939878747,0.1673807360172745,0.16406751057458302
code-lab,14,63,0.03283976181410253,0.03161218604497937,0.0012275757691231626,0.11322433625658353,0.109361456263633
code-lab,15,63,0.03846497453069166,0.038507169748227744,-4.219521753608124e-05,0.12124860271929748,0.11987630144826003
code-lab,16,63,0.04528443006769059,0.04397875930566991,0.0013056707620206776,0.14073413994813722,0.1362184468686344
code-lab,17,63,0.03658533162282159,0.034456319231096474,0.002129012391725117,0.1295601093757247,0.1252113628009009
code-lab,18,63,0.05408964538207603,0.053684905641675294,0.00040473974040073496,0.16984554229392892,0.16536365912133266
code-lab,19,63,0.04809160564105869,0.04859835191053294,-0.0005067462694742508,0.16433967162101043,0.1650289102708773
code-lab,20,63,0.030828172721648738,0.030276248471983264,0.0005519242496654746,0.10748389593902088,0.1046800088019125
code-lab,21,63,0.04940398569571756,0.04848449197523887,0.000919493720478684,0.1614251591797386,0.1593771434965588
code-lab,22,63,0.05275311247659995,0.051790084168758424,0.0009630283078415278,0.16074509209110624,0.15869282332382031
code-lab,23,63,0.03916489623952657,0.038467840171910614,0.000697056067615956,0.12523977677263912,0.12474998190171188
code-lab,24,63,0.03469503616788498,0.03377671365654221,0.0009183225113427729,0.10982404528037897,0.10715903560557062
code-lab,25,63,0.05592692115284976,0.05829689312090595,-0.0023699719680561893,0.19001884453944742,0.1916006233484026
code-lab,26,63,0.06607407874368604,0.06683150518848191,-0.0007574264447958723,0.19085782515032898,0.19082656097672288
code-lab,27,63,0.056685993928344,0.057476603529519506,-0.0007906096011755029,0.1793302387176525,0.178014130168964
code-lab,28,63,0.05356977746954986,0.05304149501690907,0.0005282824526407909,0.18270812023963248,0.1810392253987846
code-lab,29,63,0.029184094977579893,0.028255939598210038,0.0009281553793698549,0.08412600931016699,0.08155261055522021
code-lab,30,63,0.04754873203660642,0.048051704567605776,-0.000502972530999353,0.1596453178023535,0.16066128685183467
code-lab,31,63,0.049875961742289955,0.04876083652636716,0.001115125215922795,0.15051268088439154,0.1467615979767981
real-logits,0,63,0.04530652899975105,0.044214970433145824,0.0010915585666052274,0.14266887419517077,0.13938371508958794
real-logits,1,63,0.05026613539528279,0.051506437130257605,-0.0012403017349748163,0.14759607522911022,0.14645294105959317
real-logits,2,63,0.046467886546567555,0.04615415609072125,0.0003137304558463033,0.14958208648576624,0.14792308625247744
real-logits,3,63,0.04593430737787414,0.04570546751427981,0.0002288398635943295,0.14976762127249488,0.14810706438526275
real-logits,4,63,0.07223802143412214,0.07247608629543156,-0.00023806486130942273,0.2083641573313683,0.2059895513904473
real-logits,5,63,0.05768398950172086,0.05697071863179435,0.0007132708699265078,0.18954978019945204,0.1884254559371916
real-logits,6,63,0.03782855782155243,0.037289713213722854,0.000538844607829575,0.12585751735974873,0.12331069107093508
real-logits,7,63,0.032467382897194176,0.033390485219627855,-0.000923102322433679,0.10102092760008952,0.10263723229605054
real-logits,8,63,0.04548968351261306,0.0450050971648168,0.0004845863477962592,0.126139241699425,0.1242023574277049
real-logits,9,63,0.03987762894821427,0.04060861703363203,-0.0007309880854177581,0.13488240812032942,0.1352261853005205
real-logits,10,63,0.03570602641354079,0.03370093970396926,0.0020050867095715297,0.11432134023024923,0.1099082599320109
real-logits,11,63,0.032337003130657925,0.031232986484639465,0.0011040166460184603,0.1025234947188033,0.09814896200975728
real-logits,12,63,0.06470147223906621,0.06257054531976344,0.002130926919302764,0.16727291615236373,0.161071380629899
real-logits,13,63,0.03357986289830435,0.031879118314781595,0.001700744583522755,0.10940808867887845,0.10442870645414269
real-logits,14,63,0.06317876597186403,0.06349029196130615,-0.0003115259894421185,0.18472781777381897,0.18430996579783304
real-logits,15,63,0.063446948604819,0.06145647578939263,0.0019904728154263723,0.15995320603842772,0.15499175611942534
real-logits,16,63,0.038155941440472525,0.038177748269859764,-2.1806829387238658e-05,0.11956798530642003,0.1187307530393203
real-logits,17,63,0.04624380370868104,0.04708165456430011,-0.0008378508556190697,0.15019072196076785,0.14828747227078393
