fold,test_chunks,head,strength,kl,js,tv,top1_agreement,top10_overlap
0,0+1+2+3+4+5+6+7,8,0.0,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,8,0.25,0.24051494482202024,0.05522180534277386,0.22281798372378467,0.7936507936507936,0.748015873015873
0,0+1+2+3+4+5+6+7,8,0.5,0.24014728918804654,0.05513413459470218,0.222547270049651,0.7956349206349206,0.748015873015873
0,0+1+2+3+4+5+6+7,8,1.0,0.23954525230175702,0.054988162208434326,0.22206597398343592,0.7976190476190477,0.748015873015873
0,0+1+2+3+4+5+6+7,8,1.5,0.23912122149946904,0.054881415628574,0.22167556164912106,0.7956349206349206,0.7478174603174604
0,0+1+2+3+4+5+6+7,8,2.0,0.23887498223946693,0.05481394581326481,0.2214197911863656,0.7936507936507936,0.7476190476190476
0,0+1+2+3+4+5+6+7,16,0.0,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,16,0.25,0.24046769505915266,0.055216845754268926,0.22281358893035627,0.7936507936507936,0.7478174603174604
0,0+1+2+3+4+5+6+7,16,0.5,0.24005881428728038,0.05512556934663446,0.22254236842496858,0.7956349206349206,0.7482142857142857
0,0+1+2+3+4+5+6+7,16,1.0,0.23939228176742391,0.0549765083977339,0.2220715920590183,0.7976190476190477,0.7464285714285716
0,0+1+2+3+4+5+6+7,16,1.5,0.2389276073522596,0.054872161050471255,0.2217043848434673,0.7956349206349206,0.7472222222222222
0,0+1+2+3+4+5+6+7,16,2.0,0.23866486919076932,0.05481257441937169,0.22148325052908077,0.7936507936507936,0.747420634920635
0,0+1+2+3+4+5+6+7,32,0.0,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,32,0.25,0.24044452112046577,0.05521385514961482,0.22280640185866984,0.7936507936507936,0.7478174603174604
0,0+1+2+3+4+5+6+7,32,0.5,0.24001680788690768,0.055120581603995605,0.22253002250952358,0.7956349206349206,0.7482142857142857
0,0+1+2+3+4+5+6+7,32,1.0,0.23932597310525283,0.054970510595062985,0.22205449297983987,0.7976190476190477,0.7464285714285716
0,0+1+2+3+4+5+6+7,32,1.5,0.23885467079318395,0.05486914469722092,0.2216923761695239,0.7956349206349206,0.7472222222222222
0,0+1+2+3+4+5+6+7,32,2.0,0.2386029737638074,0.054816557760641586,0.22149000132955576,0.7936507936507936,0.747420634920635
0,0+1+2+3+4+5+6+7,64,0.0,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,64,0.25,0.24043370766074595,0.055212407459517665,0.2228049953076166,0.7936507936507936,0.7478174603174604
0,0+1+2+3+4+5+6+7,64,0.5,0.2399981938572074,0.05511838565933301,0.2225280222725511,0.7956349206349206,0.7482142857142857
0,0+1+2+3+4+5+6+7,64,1.0,0.2393007321230788,0.05496887234375973,0.22205509635427412,0.7976190476190477,0.7464285714285716
0,0+1+2+3+4+5+6+7,64,1.5,0.2388348565157988,0.0548708379588312,0.22170089129513287,0.7956349206349206,0.7472222222222222
0,0+1+2+3+4+5+6+7,64,2.0,0.23860062244744362,0.05482436245415917,0.22151256248524454,0.7936507936507936,0.747420634920635
0,0+1+2+3+4+5+6+7,128,0.0,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,128,0.25,0.24042980303633996,0.05521186138956557,0.2228042721669356,0.7936507936507936,0.7478174603174604
0,0+1+2+3+4+5+6+7,128,0.5,0.23999266409829567,0.055117820748916656,0.22252770414937884,0.7956349206349206,0.7482142857142857
0,0+1+2+3+4+5+6+7,128,1.0,0.23929867944423763,0.05496987868623942,0.22205894177248064,0.7976190476190477,0.7464285714285716
0,0+1+2+3+4+5+6+7,128,1.5,0.238845368306347,0.05487554989496771,0.2217133901339987,0.7956349206349206,0.7472222222222222
0,0+1+2+3+4+5+6+7,128,2.0,0.23863274946900978,0.05483490112623807,0.22153739662335573,0.7936507936507936,0.747420634920635
0,0+1+2+3+4+5+6+7,256,0.0,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,256,0.25,0.24042535780164245,0.05521097663415189,0.22280299743186563,0.7936507936507936,0.7478174603174604
0,0+1+2+3+4+5+6+7,256,0.5,0.23998538050814422,0.05511641547628093,0.22252595452814675,0.7956349206349206,0.7482142857142857
0,0+1+2+3+4+5+6+7,256,1.0,0.23929060302820981,0.05496856647376926,0.2220585342006488,0.7976190476190477,0.7464285714285716
0,0+1+2+3+4+5+6+7,256,1.5,0.23884288507658297,0.05487581988815677,0.22171734118299874,0.7956349206349206,0.7472222222222222
0,0+1+2+3+4+5+6+7,256,2.0,0.2386422897922337,0.054838248604760845,0.22154842233632938,0.7936507936507936,0.747420634920635
1,8+9+10+11+12+13+14+15,8,0.0,0.20671188691487316,0.04802122744635765,0.20122285227438305,0.7857142857142857,0.7589285714285714
1,8+9+10+11+12+13+14+15,8,0.25,0.2064799827060539,0.047969665933055336,0.2011148856860047,0.7896825396825397,0.7589285714285714
1,8+9+10+11+12+13+14+15,8,0.5,0.2062859751852138,0.047926466117667856,0.20104321820725177,0.7896825396825397,0.7589285714285714
1,8+9+10+11+12+13+14+15,8,1.0,0.20601200504114106,0.047865215828764233,0.20096339092862534,0.7976190476190477,0.7591269841269842
1,8+9+10+11+12+13+14+15,8,1.5,0.2058908167805204,0.04783778980499837,0.2009603737207784,0.7956349206349206,0.7591269841269842
1,8+9+10+11+12+13+14+15,8,2.0,0.20592243607617483,0.04784437154586205,0.20104626168809803,0.7956349206349206,0.7593253968253968
1,8+9+10+11+12+13+14+15,16,0.0,0.20671188691487316,0.04802122744635765,0.20122285227438305,0.7857142857142857,0.7589285714285714
1,8+9+10+11+12+13+14+15,16,0.25,0.20645911348693186,0.04796584649401276,0.2011143291342633,0.7896825396825397,0.758531746031746
1,8+9+10+11+12+13+14+15,16,0.5,0.20624985676458313,0.04792008719762667,0.20104511027081556,0.7896825396825397,0.7597222222222222
1,8+9+10+11+12+13+14+15,16,1.0,0.20596221901830594,0.047857519113071095,0.20097806436685445,0.7976190476190477,0.7609126984126984
1,8+9+10+11+12+13+14+15,16,1.5,0.20584982882903768,0.04783380524862641,0.20099711082617605,0.7956349206349206,0.7597222222222222
