fold,test_chunks,validation_chunks,method,selected_head,selected_strength,validation_kl,kl,js,tv,top1_agreement,top10_overlap
0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,identity,32,1.5,0.20721888601365113,0.24092717048240178,0.055319260362329446,0.22312225734184188,0.7916666666666666,0.748015873015873
0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,output-head-sidecar,32,1.5,0.20721888601365113,0.23885467079318395,0.05486914469722092,0.2216923761695239,0.7956349206349206,0.7472222222222222
1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,identity,256,1.5,0.24845603267148983,0.20671188691487316,0.04802122744635765,0.20122285227438305,0.7857142857142857,0.7589285714285714
1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,output-head-sidecar,256,1.5,0.24845603267148983,0.20585462752891875,0.04783186552166101,0.20100976734719883,0.7956349206349206,0.7597222222222222
2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,identity,64,2.0,0.187481303204126,0.20689404047637558,0.04776397219135351,0.20661873681678522,0.7400793650793651,0.7742063492063493
2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,output-head-sidecar,64,2.0,0.187481303204126,0.20596021455315036,0.04746110542072933,0.20538105888102556,0.7361111111111112,0.7732142857142859
3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,identity,256,1.0,0.22272972053090276,0.23135197366611956,0.053077387179971285,0.22524132477106862,0.7757936507936508,0.7476190476190476
3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,output-head-sidecar,256,1.0,0.22272972053090276,0.23018608645967711,0.05284003048949498,0.22432067321059304,0.7837301587301587,0.749404761904762
