document,positions,chunks,baseline_kl,candidate_kl,kl_reduction,kl_recovery,baseline_js,candidate_js,js_recovery,baseline_tv,candidate_tv,baseline_top1,candidate_top1,baseline_top10,candidate_top10,improved_chunks,chunk_interval_low,chunk_interval_high
real-logits,2016,32,0.1789505268215778,0.17037245269776563,0.008578074123812174,0.04793545051904158,0.040960370787782176,0.039267937333932704,0.04131880208355676,0.16241151989234504,0.158680480402282,0.8501984126984127,0.8581349206349206,0.7504960317460317,0.7542162698412699,25,0.0014077567162855374,0.015748391531338845
low-rank-controls,2016,32,0.17901267818404684,0.1719623032302381,0.007050374953808752,0.03938478003530066,0.04090486765009788,0.039281557989773626,0.03968499969759398,0.1639928079747936,0.16018484559125257,0.8402777777777778,0.8462301587301587,0.7516865079365079,0.7539186507936508,26,0.002165581422534266,0.011935168485083261
gap-calibration,2016,32,0.17098576575365507,0.16779277212526483,0.003192993628390234,0.0186740318079488,0.039596430939555845,0.039014617123036395,0.014693592394920407,0.16305868014001845,0.16159048277710183,0.8581349206349206,0.8482142857142857,0.7478174603174604,0.7500496031746031,19,-0.0007131720487872227,0.00709915930556773
hidden-adapter,2016,32,0.17737134685526385,0.16781690963578094,0.009554437219482903,0.05386685836737426,0.03951747368077649,0.03796711141826586,0.03923232226418394,0.16092038146419238,0.15789679379836644,0.8467261904761905,0.8462301587301587,0.7499503968253969,0.7531746031746033,24,-0.0018744081486260031,0.020983282587591794
