document,chunk,positions,baseline_kl,candidate_kl,kl_reduction,baseline_js,candidate_js
real-logits,0,63,0.17260183712027183,0.1478676080133439,0.024734229106927935,0.037266352791065736,0.03298406314995429
real-logits,1,63,0.18404232403092521,0.17682659891175312,0.007215725119172095,0.041407259769021904,0.0400304799784083
real-logits,2,63,0.17328060079187937,0.1647998142021238,0.008480786589755568,0.03963860938011119,0.03806917877528353
real-logits,3,63,0.16809145776584508,0.16266181980054603,0.00542963796529905,0.03853467741548287,0.03665890379402083
real-logits,4,63,0.19797229107528452,0.2429053004653681,-0.04493300939008357,0.04864582064790681,0.05764696716297684
real-logits,5,63,0.20325116062858364,0.2006605672559956,0.002590593372588046,0.048294074698499154,0.04703384719395549
real-logits,6,63,0.14385961209700326,0.13384758437660776,0.0100120277203955,0.03472596139228324,0.032447860909376194
real-logits,7,63,0.18327587824542063,0.18166279735611632,0.0016130808893043136,0.031229407095399855,0.030555810926286887
real-logits,8,63,0.17675179098878,0.17239250241233267,0.004359288576447323,0.043233706083776545,0.04233107707632046
real-logits,9,63,0.13265112033724788,0.1288479265777347,0.003803193759513185,0.032269501595616625,0.03155032948403921
real-logits,10,63,0.1740675504249613,0.14658934898172793,0.027478201443233374,0.034820386970952515,0.03022979220785933
real-logits,11,63,0.14565465487733795,0.1367511001132828,0.00890355476405516,0.035919820526205945,0.033430405838179654
real-logits,12,63,0.2204607432319631,0.2337467502435925,-0.013286007011629408,0.055313240940622996,0.05635339699474643
real-logits,13,63,0.15978395341701956,0.14218159498127605,0.01760235843574351,0.032735270321782514,0.029890378946407826
real-logits,14,63,0.3203912806468055,0.23550133119218997,0.08488994945461553,0.066695981097707,0.05139067224139118
real-logits,15,63,0.25659248469593066,0.24129206006165033,0.01530042463428033,0.05851216401109894,0.05633232632252989
real-logits,16,63,0.15929716815962963,0.12251747336833635,0.03677969479129328,0.036851460849931524,0.030365617978755866
real-logits,17,63,0.1501376932239278,0.1495715073210054,0.0005661859029224003,0.036583952861508895,0.0362908545244748
real-logits,18,63,0.16521697798845478,0.15009063568810696,0.015126342300347817,0.038950017943289054,0.03600189996648133
real-logits,19,63,0.24525697927530263,0.251676567741448,-0.006419588466145348,0.055710940686352954,0.05774131369576531
real-logits,20,63,0.12656294971707716,0.12504445683254514,0.0015184928845320134,0.03039873628900779,0.030334927417257743
real-logits,21,63,0.14276186827919446,0.14847804723184607,-0.005716178952651613,0.034533915723509306,0.036152848448023536
real-logits,22,63,0.11294437562935941,0.11359310365029766,-0.0006487280209382523,0.027153743901902682,0.02688722666749123
real-logits,23,63,0.14875760975770563,0.14842253480021592,0.00033507495748971716,0.03653193353977893,0.03634420558747869
real-logits,24,63,0.1302947162686097,0.13054563254829393,-0.0002509162796842379,0.02978138557668105,0.03029360219420235
real-logits,25,63,0.21912923528976708,0.20465282343444877,0.01447641185531831,0.048879647873150134,0.04532357477926109
real-logits,26,63,0.23943462467841095,0.21450347400691716,0.02493115067149379,0.054940217562871686,0.04995626416602467
real-logits,27,63,0.14793207277479167,0.1367166204644101,0.011215452310381568,0.03475699174412021,0.03204797673701944
real-logits,28,63,0.20492159975932853,0.1922323310637795,0.012689268695549039,0.04628895638280295,0.04316879273025575
real-logits,29,63,0.1321488759048017,0.12825818149149343,0.0038906944133082766,0.030861813068368642,0.030230169645663062
real-logits,30,63,0.17997231407068848,0.18707841949776233,-0.00710610542707385,0.04051589629552692,0.042143778018625094
real-logits,31,63,0.208919057138181,0.20000197224195174,0.008917084896229277,0.04875002017269296,0.04635545112733015
low-rank-controls,0,63,0.18479312224706748,0.1826778487651147,0.002115273481952784,0.04489693173675891,0.044393866932382696
low-rank-controls,1,63,0.15352451207864862,0.14192319787807287,0.011601314200575752,0.0343254148348269,0.03199155140310679
low-rank-controls,2,63,0.2269039812827158,0.23670090160588203,-0.00979692032316623,0.05291060931954988,0.054323433440282815
low-rank-controls,3,63,0.1531897252258089,0.14973489684456986,0.0034548283812390335,0.037104617342265556,0.03636654032399949
low-rank-controls,4,63,0.1325820245110374,0.12886737447811428,0.0037146500329231225,0.03037339720433032,0.029512750874867755
low-rank-controls,5,63,0.20853095424489954,0.21859255574651928,-0.010061601501619749,0.04622250937997691,0.04884342286974667
low-rank-controls,6,63,0.16403177596311297,0.1536602621157986,0.010371513847314356,0.04015315388584448,0.0374472546720917
low-rank-controls,7,63,0.04437797228475603,0.04212344154588469,0.0022545307388713437,0.01054131817502303,0.009846408353707956
low-rank-controls,8,63,0.14546318457920163,0.13840013800839346,0.007063046570808168,0.03548644771480111,0.03437791073274783
low-rank-controls,9,63,0.20901536216432948,0.1749664170666143,0.034048945097715166,0.04955083924926565,0.04232768532240279
low-rank-controls,10,63,0.1976809183871078,0.1704038348349665,0.027277083552141312,0.04588154389822439,0.04051946873906196
low-rank-controls,11,63,0.20181912632052978,0.19392811955462785,0.007891006765901931,0.046159732382095954,0.04535745531595441
low-rank-controls,12,63,0.1800507393273865,0.17552999425162044,0.004520745075766053,0.040885156102751986,0.03963318007345873
low-rank-controls,13,63,0.17567064897403248,0.15751464556668662,0.018156003407345855,0.0412994746380639,0.037153440708975506
low-rank-controls,14,63,0.1458995012060133,0.13581060279171825,0.010088898414295056,0.030533282341027174,0.02840778306389915
low-rank-controls,15,63,0.1837120736142554,0.17462967877093302,0.009082394843322378,0.0431021386086488,0.041332201590049654
low-rank-controls,16,63,0.14786858358494345,0.14457746834673416,0.0032911152382092967,0.0357520135603986,0.03495128796711224
low-rank-controls,17,63,0.19796955083600348,0.23129229085882091,-0.03332274002281743,0.04675751241810513,0.047439902800732174
low-rank-controls,18,63,0.09788943881363911,0.08717716363893459,0.010712275174704522,0.021538482397616802,0.01872816657315716
low-rank-controls,19,63,0.11683998525023483,0.11159563079739215,0.005244354452842673,0.02700969398931972,0.026008519528659235
low-rank-controls,20,63,0.27378726238384843,0.2755902489140955,-0.001802986530247075,0.06201553956784737,0.06182898023412452
low-rank-controls,21,63,0.25411713831260657,0.24835611083385412,0.005761027478752456,0.05514931209368764,0.05332329372173725
low-rank-controls,22,63,0.2046660469931094,0.17943640123629603,0.025229645756813357,0.04404756808852408,0.040284295796929714
low-rank-controls,23,63,0.1893951570742675,0.1915206975106793,-0.0021255404364118047,0.04452912568295789,0.046047423484456625
low-rank-controls,24,63,0.21613063110733435,0.19412314286963675,0.022007488237697603,0.049793032679493386,0.04566293829852911
low-rank-controls,25,63,0.14224416228546669,0.13573565481873096,0.00650850746673573,0.03229905875418303,0.0302246058370057
low-rank-controls,26,63,0.08846397771655272,0.07575858406833158,0.012705393648221139,0.019994194507123864,0.017503523833475188
low-rank-controls,27,63,0.20039213369034856,0.21642089190185837,-0.016028758211509814,0.04115858251687437,0.04348184212741967
low-rank-controls,28,63,0.1813300359099519,0.1479107213458014,0.03341931456415048,0.040873167325266586,0.034677695470290495
low-rank-controls,29,63,0.2899088796658607,0.2773431028158412,0.012565776850019528,0.06219759851735164,0.059886320462892974
low-rank-controls,30,63,0.23793686183062307,0.22828676423800753,0.009650097592615536,0.053968988031787346,0.05262844414519061
low-rank-controls,31,63,0.18222023402380555,0.18220491934708763,1.5314676717920195e-05,0.042445327859139875,0.04249826097430734
gap-calibration,0,63,0.07486925676718624,0.07058735813014422,0.0042818986370420226,0.018250927572454303,0.017256437508669318
gap-calibration,1,63,0.20119493797683968,0.18984508222950222,0.011349855747337462,0.04475794884228529,0.04250350836772423
gap-calibration,2,63,0.20713844931858133,0.20511989269959038,0.0020185566189909465,0.04426899628774591,0.043945529983281474
gap-calibration,3,63,0.16342959556248618,0.1647702606623791,-0.0013406650998929182,0.03970149582210791,0.040490500242441836
gap-calibration,4,63,0.124758318200567,0.1450667879133049,-0.020308469712737906,0.028296530177526404,0.03366645014822343
gap-calibration,5,63,0.10319878584945515,0.10984517540863534,-0.006646389559180191,0.02659210956882441,0.028527329491196955
gap-calibration,6,63,0.13587493813546975,0.11219746166891185,0.023677476466557892,0.027227154830567334,0.024072386890261154
gap-calibration,7,63,0.1223447137771155,0.11964682941210672,0.0026978843650087847,0.030262489781803775,0.029404416316853914
gap-calibration,8,63,0.21280951448531438,0.2222133050820539,-0.009403790596739514,0.04748495632070228,0.04833341756891478
gap-calibration,9,63,0.1652747897931563,0.1768919382494272,-0.011617148456270904,0.03617029461892098,0.039456520980531914
gap-calibration,10,63,0.13906608369489687,0.1413073009018609,-0.002241217206964019,0.034495837708019526,0.03465841241718624
gap-calibration,11,63,0.18539072738225051,0.18125906650909332,0.004131660873157195,0.04589997821515695,0.04501273384345503
gap-calibration,12,63,0.12341081334884549,0.12268572448561423,0.000725088863231263,0.0278834455847959,0.02809396964419924
gap-calibration,13,63,0.18286244925721326,0.171274312849467,0.011588136407746252,0.04427083058440725,0.04190157357469804
gap-calibration,14,63,0.17450953411245126,0.17864736961570407,-0.004137835503252807,0.04127375552401183,0.041592147220933205
gap-calibration,15,63,0.18564819403469474,0.18155604861033406,0.004092145424360677,0.044517121404198175,0.04392185296918912
gap-calibration,16,63,0.22211094888685723,0.2249802123522617,-0.0028692634654044757,0.05208267387425867,0.052306010198518625
gap-calibration,17,63,0.2327105564782248,0.2407717019391601,-0.008061145460935282,0.058461010446845894,0.059279337130733654
gap-calibration,18,63,0.20188605136677829,0.2018713813592931,1.4670007485173553e-05,0.046917142217497466,0.04681714706765931
gap-calibration,19,63,0.12543016560569717,0.12486149577076532,0.0005686698349318536,0.02940938831410936,0.029490383324180528
gap-calibration,20,63,0.15324615002683703,0.15444415196635952,-0.0011980019395224917,0.03651875403357692,0.036679414146448604
