label,kind,model_bytes,added_bytes,kl_recovery,js_recovery,mean_chunk_kl_reduction,chunk_interval_low,chunk_interval_high,improved_chunks,kl,js,tv,acceptance,top1_agreement,top10_overlap,marginal_kl_per_mib
Q2 baseline,base,1940825248,0,0.0,0.0,0.0,0.0,0.0,0,0.2214712678849425,0.051045461795002973,0.2140512928010197,0.7859487071989804,0.7733134920634921,0.7571924603174603,
early-Q8-1,hybrid,2036682048,95856800,0.03326701464272952,0.03027066228634423,0.0073676879116722676,0.0029509763662974135,0.011784399457047122,26,0.21410357997327026,0.049500281859755954,0.2101344195555121,0.7898655804444878,0.7777777777777778,0.7614087301587301,8.059502006816043e-05
early-Q8-2,hybrid,2132538688,191713440,0.07185365891135698,0.06844900159367551,0.015913520941270444,0.009716169005443637,0.022110872877097253,29,0.20555774694367207,0.047551450899246915,0.20599431565839646,0.7940056843416036,0.7822420634920635,0.7686507936507937,9.34828866820697e-05
early-Q8-3,hybrid,2287562048,346736800,0.08830279472212821,0.08313106278485405,0.019556531904893544,0.014127616778825597,0.02498544703096149,30,0.20191473598004897,0.04680199830564071,0.2041532775791359,0.7958467224208641,0.7876984126984127,0.7696924603174604,2.4641278992998575e-05
Q4_K_XL,benchmark,2912109728,971284480,0.925278810785856,0.9201180226327258,0.20492267137181536,0.18195199450442437,0.22789334823920634,32,0.01654859651312715,0.004077612423810489,0.056625051152665376,0.9433749488473346,0.9360119047619048,0.9227182539682541,
