label,role,is_primary,kl_recovery,js_recovery,mean_chunk_kl_reduction,chunk_interval_low,chunk_interval_high,improved_chunks,kl,js,tv,acceptance,top1_agreement,top10_overlap
Q2 baseline,baseline,False,0.0,0.0,0.0,0.0,0.0,0,0.17921532576616933,0.04158610889716,0.16496292752424957,0.8350370724757504,0.839781746031746,0.7555555555555555
early-Q8-1,diagnostic,False,0.01640195248158749,0.024727111735081686,0.002939481257188937,-0.005772280283094374,0.011651242797472249,21,0.1762758445089804,0.04055780453583265,0.1624046551806612,0.8375953448193388,0.84375,0.7600198412698413
early-Q8-2,preselected,True,0.05411006723402734,0.05545485620875079,0.009697353326575554,0.0014342164811068647,0.017960490172044243,27,0.1695179724395938,0.03927995720798654,0.15935889356163238,0.8406411064383676,0.8402777777777778,0.7632936507936507
early-Q8-3,diagnostic,False,0.06789332199505782,0.06846693475888788,0.012167523818691715,0.0029309267998738325,0.021404120837509595,26,0.16704780194747762,0.038738835492422144,0.15813049001596774,0.8418695099840323,0.847718253968254,0.7628472222222222
Q4_K_XL,benchmark,False,0.9287494328706608,0.9245455909707706,0.1664461321670605,0.1478147541319834,0.1850775102021376,32,0.012769193599108832,0.003137855270660387,0.04121493677888453,0.9587850632211155,0.9553571428571429,0.9228174603174605
