model,pp128_tokens_per_second,pp128_stddev,pp128_change_percent,tg32_tokens_per_second,tg32_stddev,tg32_change_percent
Q2 baseline,5951.150015,453.920288,0.0000,233.820709,1.256801,0.0000
early-Q8-1,5865.840181,671.109210,-1.4335,227.889479,1.613298,-2.5366
early-Q8-2,6022.719520,424.621757,1.2026,223.093548,0.918401,-4.5886
early-Q8-3,6023.434484,403.366267,1.2146,214.317584,1.114168,-8.3401
Q4_K_XL,6976.885828,600.999492,17.2389,193.085184,0.603587,-17.4217
