quant,fold,test_chunks,calibration_positions,test_positions,method,reference_temperature,reference_top_p,candidate_temperature,candidate_top_p,training_js,sampler_js,sampler_tv,sampler_support_jaccard
Q4_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-temperature,0.8,0.95,0.7950000000000002,0.95,0.007272890613080563,0.007478402245707247,0.060640387651917066,0.8792018066189475
Q4_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-temperature-top-p,0.8,0.95,0.7700000000000001,0.96,0.007320174254175527,0.007551476593316837,0.06235603888386062,0.8783994044551098
Q4_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-top-p,0.8,0.95,0.8,0.95,0.007329564846571657,0.007464223978353229,0.06063382456167823,0.8800221962985214
Q8_K_XL,0,0+1+2+3+4+5+6+7,256,504,same-settings,0.8,0.95,0.8,0.95,,0.000923109396553844,0.013794947693693556,0.966986188144817
Q8_K_XL,0,0+1+2+3+4+5+6+7,256,504,tuned-temperature,0.8,0.95,0.8000000000000002,0.95,0.0008586009899964608,0.000923109396553844,0.013794947693693556,0.966986188144817
Q8_K_XL,0,0+1+2+3+4+5+6+7,256,504,tuned-temperature-top-p,0.8,0.95,0.8000000000000002,0.95,0.0008586009899964608,0.000923109396553844,0.013794947693693556,0.966986188144817
Q8_K_XL,0,0+1+2+3+4+5+6+7,256,504,tuned-top-p,0.8,0.95,0.8,0.95,0.0008586009899964608,0.000923109396553844,0.013794947693693556,0.966986188144817
Q8_K_XL,1,8+9+10+11+12+13+14+15,256,504,same-settings,0.8,0.95,0.8,0.95,,0.0007309785444953203,0.012663944354114522,0.9746911650745819
Q8_K_XL,1,8+9+10+11+12+13+14+15,256,504,tuned-temperature,0.8,0.95,0.8000000000000002,0.95,0.0009557453025585971,0.0007309785444953203,0.012663944354114522,0.9746911650745819
Q8_K_XL,1,8+9+10+11+12+13+14+15,256,504,tuned-temperature-top-p,0.8,0.95,0.8000000000000002,0.95,0.0009557453025585971,0.0007309785444953203,0.012663944354114522,0.9746911650745819
Q8_K_XL,1,8+9+10+11+12+13+14+15,256,504,tuned-top-p,0.8,0.95,0.8,0.95,0.0009557453025585971,0.0007309785444953203,0.012663944354114522,0.9746911650745819
Q8_K_XL,2,16+17+18+19+20+21+22+23,256,504,same-settings,0.8,0.95,0.8,0.95,,0.0008698304789031826,0.01437287420054735,0.9694216178305501
Q8_K_XL,2,16+17+18+19+20+21+22+23,256,504,tuned-temperature,0.8,0.95,0.8000000000000002,0.95,0.0008859195263646313,0.0008698304789031826,0.01437287420054735,0.9694216178305501
Q8_K_XL,2,16+17+18+19+20+21+22+23,256,504,tuned-temperature-top-p,0.8,0.95,0.8000000000000002,0.95,0.0008859195263646313,0.0008698304789031826,0.01437287420054735,0.9694216178305501
Q8_K_XL,2,16+17+18+19+20+21+22+23,256,504,tuned-top-p,0.8,0.95,0.8,0.95,0.0008859195263646313,0.0008698304789031826,0.01437287420054735,0.9694216178305501
Q8_K_XL,3,24+25+26+27+28+29+30+31,256,504,same-settings,0.8,0.95,0.8,0.95,,0.0009674678010180778,0.01487997936829555,0.9640281172364862
Q8_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-temperature,0.8,0.95,0.8000000000000002,0.95,0.0007329975798704425,0.0009674678010180778,0.01487997936829555,0.9640281172364862
Q8_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-temperature-top-p,0.8,0.95,0.8000000000000002,0.95,0.0007329975798704425,0.0009674678010180778,0.01487997936829555,0.9640281172364862
Q8_K_XL,3,24+25+26+27+28+29+30+31,256,504,tuned-top-p,0.8,0.95,0.8,0.95,0.0007329975798704425,0.0009674678010180778,0.01487997936829555,0.9640281172364862
