quant,fold,test_chunks,inner_validation_chunks,train_positions,test_positions,temperature,method,selected_head,selected_neighbors,selected_enabled,scale,kl,js,tv,top1_agreement,top10_overlap
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,identity,0,0,False,1.0280901469768742,0.24092477919489225,0.05531910690682875,0.22312225874488884,0.7916666666666666,0.7480158730158738
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,target-temperature,0,0,False,1.0280901469768742,0.23858837022264343,0.053882206050192574,0.2184010494356271,0.7916666666666666,0.7480158730158738
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,target-temperature+token,0,0,False,1.0280901469768742,0.23071241173136395,0.05273322724690483,0.21728788399821722,0.7896825396825397,0.7529761904761911
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,conditional-mean-forced,128,128,True,1.0280901469768742,0.25176771477588644,0.055512093243878076,0.22180102134187576,0.7896825396825397,0.7523809523809535
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,conditional-mean-selected,128,128,False,1.0280901469768742,0.23071241173136395,0.05273322724690483,0.21728788399821722,0.7896825396825397,0.7529761904761911
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,posterior-predictive-forced,128,128,True,1.0280901469768742,0.2356972515634093,0.05368614148722031,0.21930004811978435,0.7916666666666666,0.7494047619047629
Q2_K_XL,0,0+1+2+3+4+5+6+7,8+12+16+20+24+28,1512,504,1.0,posterior-predictive-selected,128,128,False,1.0280901469768742,0.23071241173136395,0.05273322724690483,0.21728788399821722,0.7896825396825397,0.7529761904761911
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,identity,0,0,False,1.026347383896415,0.2067100456957777,0.048020224986723,0.2012228512972401,0.7857142857142857,0.7589285714285707
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,target-temperature,0,0,False,1.026347383896415,0.20387659569229505,0.04663361305650055,0.19629483167019557,0.7857142857142857,0.7589285714285707
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,target-temperature+token,0,0,False,1.026347383896415,0.20129328348349879,0.046348642541623485,0.1970810715752397,0.7876984126984127,0.7569444444444441
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,conditional-mean-forced,128,128,True,1.026347383896415,0.2197339533536037,0.04837985506791358,0.19781870819559266,0.7936507936507936,0.7577380952380953
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,conditional-mean-selected,128,128,False,1.026347383896415,0.20129328348349879,0.046348642541623485,0.1970810715752397,0.7876984126984127,0.7569444444444441
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,posterior-predictive-forced,128,128,True,1.026347383896415,0.205804950735256,0.04716586953748792,0.19848582505208606,0.7936507936507936,0.7575396825396818
Q2_K_XL,1,8+9+10+11+12+13+14+15,1+5+17+21+25+29,1512,504,1.0,posterior-predictive-selected,128,128,False,1.026347383896415,0.20129328348349879,0.046348642541623485,0.1970810715752397,0.7876984126984127,0.7569444444444441
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,identity,0,0,False,1.0296383320160254,0.2068837059205594,0.04776320499823983,0.20661873630406702,0.7400793650793651,0.7742063492063492
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,target-temperature,0,0,False,1.0296383320160254,0.20502854782978674,0.04652888189551568,0.20183719088500973,0.7400793650793651,0.7742063492063492
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,target-temperature+token,0,0,False,1.0296383320160254,0.20714877645219218,0.04731896142075039,0.2054327055933803,0.75,0.7730158730158734
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,conditional-mean-forced,128,128,True,1.0296383320160254,0.23265994165927603,0.05155779503079477,0.21311916675627024,0.748015873015873,0.7730158730158734
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,conditional-mean-selected,128,128,False,1.0296383320160254,0.20714877645219218,0.04731896142075039,0.2054327055933803,0.75,0.7730158730158734
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,posterior-predictive-forced,128,128,True,1.0296383320160254,0.21306783104079724,0.048713318498928515,0.2088086738471565,0.746031746031746,0.7714285714285724
Q2_K_XL,2,16+17+18+19+20+21+22+23,2+6+10+14+26+30,1512,504,1.0,posterior-predictive-selected,128,128,False,1.0296383320160254,0.20714877645219218,0.04731896142075039,0.2054327055933803,0.75,0.7730158730158734
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,identity,0,0,False,1.0333700801977017,0.2313405746818059,0.05307769826221708,0.22524132493732052,0.7757936507936508,0.7476190476190474
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,target-temperature,0,0,False,1.0333700801977017,0.23098719177048926,0.05198651496933826,0.22031005075775945,0.7757936507936508,0.7476190476190474
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,target-temperature+token,0,0,False,1.0333700801977017,0.23205161297460242,0.05270012909075449,0.22321094298352998,0.7857142857142857,0.7529761904761902
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,conditional-mean-forced,128,128,True,1.0333700801977017,0.2567505535700045,0.056570802486544655,0.22937863401489947,0.7896825396825397,0.7523809523809527
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,conditional-mean-selected,128,128,False,1.0333700801977017,0.23205161297460242,0.05270012909075449,0.22321094298352998,0.7857142857142857,0.7529761904761902
Q2_K_XL,3,24+25+26+27+28+29+30+31,3+7+11+15+19+23,1512,504,1.0,posterior-predictive-forced,128,128,True,1.0333700801977017,0.2359701444743148,0.053588899105493824,0.2248987476137839,0.7876984126984127,0.748412698412699
