quant,fold,test_chunks,train_chunks,calibration_chunks,calibration_positions,test_positions,temperature,method,scale,equivalent_quant_temperature,kl,js,tv,acceptance,top1_agreement,top10_overlap,ref_entropy
Q2_K_XL,0,0+1,2,1,63,126,0.8,identity,1.023416783688054,0.7816952123035014,0.30242516372774464,0.06826076519161414,0.22760442389402394,0.7723955761059761,0.8333333333333334,0.7452380952380953,1.1523404235250307
Q2_K_XL,0,0+1,2,1,63,126,0.8,target-temperature,1.023416783688054,0.7816952123035014,0.3031231641783612,0.06741725994924279,0.22517529038049028,0.7748247096195098,0.8333333333333334,0.7452380952380953,1.1523404235250307
Q2_K_XL,0,0+1,2,1,63,126,0.8,target-temperature+token,1.023416783688054,0.7816952123035014,0.3057989518816933,0.06703876663895296,0.22446900014446525,0.7755309998555348,0.8253968253968254,0.7380952380952381,1.1523404235250307
Q2_K_XL,0,0+1,2,1,63,126,1.0,identity,1.0694108507413411,0.9350943085220953,0.2768219292488817,0.06507945592598768,0.2343117798983633,0.7656882201016367,0.8333333333333334,0.7452380952380953,1.6721404727949878
Q2_K_XL,0,0+1,2,1,63,126,1.0,target-temperature,1.0694108507413411,0.9350943085220953,0.2725463845478215,0.06159511833405079,0.22446495198383806,0.7755350480161619,0.8333333333333334,0.7452380952380953,1.6721404727949878
Q2_K_XL,0,0+1,2,1,63,126,1.0,target-temperature+token,1.0694108507413411,0.9350943085220953,0.2709854934880447,0.06082079759776194,0.22226495386823025,0.7777350461317698,0.8174603174603174,0.7444444444444446,1.6721404727949878
Q2_K_XL,0,0+1,2+3,2,126,126,0.8,identity,1.000145512686288,0.7998836067876587,0.30242516372774464,0.06826076519161414,0.22760442389402394,0.7723955761059761,0.8333333333333334,0.7452380952380953,1.1523404235250307
Q2_K_XL,0,0+1,2+3,2,126,126,0.8,target-temperature,1.000145512686288,0.7998836067876587,0.3024256908222554,0.06825466677834581,0.227587642125399,0.7724123578746009,0.8333333333333334,0.7452380952380953,1.1523404235250307
Q2_K_XL,0,0+1,2+3,2,126,126,0.8,target-temperature+token,1.000145512686288,0.7998836067876587,0.30372853578381737,0.06760521529498459,0.2266070015872824,0.7733929984127176,0.8174603174603174,0.7388888888888889,1.1523404235250307
Q2_K_XL,0,0+1,2+3,2,126,126,1.0,identity,1.0401816890453057,0.9613705091442389,0.2768219292488817,0.06507945592598768,0.2343117798983633,0.7656882201016367,0.8333333333333334,0.7452380952380953,1.6721404727949878
Q2_K_XL,0,0+1,2+3,2,126,126,1.0,target-temperature,1.0401816890453057,0.9613705091442389,0.2723511786274651,0.06260785817434324,0.22765934343150965,0.7723406565684904,0.8333333333333334,0.7452380952380953,1.6721404727949878
Q2_K_XL,0,0+1,2+3,2,126,126,1.0,target-temperature+token,1.0401816890453057,0.9613705091442389,0.27016439416083554,0.06169930750522881,0.22529786845158614,0.7747021315484138,0.8174603174603174,0.7444444444444446,1.6721404727949878
Q2_K_XL,0,0+1,2+3+4+5,4,252,126,0.8,identity,0.9973289799094464,0.8021425388367206,0.30242516372774464,0.06826076519161414,0.22760442389402394,0.7723955761059761,0.8333333333333334,0.7452380952380953,1.1523404235250307
Q2_K_XL,0,0+1,2+3+4+5,4,252,126,0.8,target-temperature,0.9973289799094464,0.8021425388367206,0.3024243393474281,0.06837470715199082,0.22791455262320387,0.7720854473767962,0.8333333333333334,0.7452380952380953,1.1523404235250307
Q2_K_XL,0,0+1,2+3+4+5,4,252,126,0.8,target-temperature+token,0.9973289799094464,0.8021425388367206,0.3024748316986647,0.06772364007781131,0.22670002011593346,0.7732999798840665,0.8253968253968254,0.7444444444444446,1.1523404235250307
