quant,fold,train_positions,test_positions,scale,equivalent_temperature_at_0.8
Q2_K_XL,0,378,126,1.0287920793047218,0.7776109634715073
Q2_K_XL,1,378,126,1.0313838948509797,0.7756568664625005
Q2_K_XL,2,378,126,1.0358483286923696,0.7723138396235104
Q2_K_XL,3,378,126,1.0385615255613962,0.7702962032678408
Q4_K_XL,0,378,126,1.001932427248182,0.7984570398596725
Q4_K_XL,1,378,126,1.0006660112911456,0.7994675455877341
Q4_K_XL,2,378,126,1.0007189614754877,0.7994252440469979
Q4_K_XL,3,378,126,1.002142047339665,0.7982900249757198
