block,chunks,positions,method,scale,kl,js,tv,top1_agreement,top10_overlap
0,0,63,identity,1.0293006839980887,0.35897476309108284,0.08311858559239295,0.28655974931944717,0.5873015873015873,0.7000000000000001
0,0,63,frozen-target-temperature,1.0293006839980887,0.35510187482173855,0.08126746638364471,0.2814012686869815,0.5873015873015873,0.7000000000000001
0,0,63,frozen-temperature+token,1.0293006839980887,0.3440551652965342,0.07787101111686096,0.27140577443627456,0.6190476190476191,0.711111111111111
0,0,63,frozen-pairwise-gap,1.0293006839980887,0.3441376490171795,0.07775117721610145,0.2710492783890887,0.6190476190476191,0.711111111111111
1,1,63,identity,1.0293006839980887,0.2123911673138448,0.05200872880490697,0.1799409919202088,0.7777777777777778,0.703174603174603
1,1,63,frozen-target-temperature,1.0293006839980887,0.21414139529504653,0.05158135077503373,0.17791447890618467,0.7777777777777778,0.703174603174603
1,1,63,frozen-temperature+token,1.0293006839980887,0.22410376790710987,0.05342855905911123,0.1839277596730203,0.7936507936507936,0.6968253968253966
1,1,63,frozen-pairwise-gap,1.0293006839980887,0.22498341039871303,0.053519320898300755,0.18438366177606894,0.7936507936507936,0.6968253968253966
2,2,63,identity,1.0293006839980887,0.1783270248423827,0.03926221203911128,0.13090868645163006,0.873015873015873,0.7555555555555552
2,2,63,frozen-target-temperature,1.0293006839980887,0.17941354441220128,0.0387353245089099,0.1287227319111877,0.873015873015873,0.7555555555555552
2,2,63,frozen-temperature+token,1.0293006839980887,0.1838756471277048,0.04077878315848045,0.13380828014561272,0.8571428571428571,0.7841269841269838
2,2,63,frozen-pairwise-gap,1.0293006839980887,0.18489300437333475,0.04091260086459224,0.1338570052383509,0.8571428571428571,0.7841269841269838
3,3,63,identity,1.0293006839980887,0.28225924961949145,0.06550590328578929,0.19504659870193272,0.8095238095238095,0.6984126984126982
3,3,63,frozen-target-temperature,1.0293006839980887,0.2790125773587969,0.06368370115297863,0.18888678018049937,0.8095238095238095,0.6984126984126982
3,3,63,frozen-temperature+token,1.0293006839980887,0.29167459855911476,0.06685651493294353,0.19721950057636414,0.7936507936507936,0.7095238095238094
3,3,63,frozen-pairwise-gap,1.0293006839980887,0.2912197504186755,0.066556442062762,0.1961451703293048,0.7936507936507936,0.7095238095238094
4,4,63,identity,1.0293006839980887,0.24175190883389922,0.05620705249828602,0.1860262502302626,0.8571428571428571,0.7253968253968255
4,4,63,frozen-target-temperature,1.0293006839980887,0.24600487333930748,0.05596348345178376,0.18417755648103526,0.8571428571428571,0.7253968253968255
4,4,63,frozen-temperature+token,1.0293006839980887,0.23981669412556933,0.05575326172494874,0.18762178396815715,0.8571428571428571,0.7317460317460318
4,4,63,frozen-pairwise-gap,1.0293006839980887,0.23970015755843532,0.05558223241734183,0.18684197476671333,0.8571428571428571,0.7317460317460318
5,5,63,identity,1.0293006839980887,0.158093353468673,0.03718031282909078,0.14556777073110252,0.873015873015873,0.7492063492063492
